,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.096124806,0.0122773405,0.015526922,0.03920996,0.00025491702,0.00014677372,0.0003994825,0.0007954594,0.00077666895,0.2409559,0.0015075995,0.0006847218,0.0050760456,0.00019622351,0.0010014598,9.331947e-05,0.0023860624,0.0057802764,0.023100609,0.00010334712,0.00039693335,0.00082616654,0.0013944857,0.25295538,0.0003033688,0.042341206,2.8192097e-05,0.006609773,0.038743284,0.0009772879,1.9888625e-05,0.003969198,0.0018675931,0.0034358911,0.0036633029,0.04301113,0.0010455995,0.010006703,0.0003245428,1.7865093e-05,0.0016058114,0.0012846115,0.00079876755,0.016094524,0.019334862,0.0027888347,0.054497737,0.008890074,1.7463826e-05,0.002233179,3.1706445e-06,1.5625588e-07,2.9689368e-06,4.6291683e-05,0.0004487973,6.8949444e-06,1.2115819e-06,0.011864429,0.01655583,3.1490006e-05,1.9320558e-05,0.0051379646
20,0.044879228,0.01705125,0.05395405,3.2708136e-05,0.00019343977,9.150519e-05,0.0029422548,0.0005085048,0.000539511,0.06586174,0.0010664674,0.00055600906,0.035397775,0.00079512905,0.00014167183,5.3394695e-05,0.0027604525,0.025920736,0.0117239645,0.0025006693,0.0031490454,0.00031820821,2.0425368e-06,0.0054390463,0.00087159435,0.028196622,0.00010765179,0.016101072,0.0054681124,0.25035068,0.0015835636,0.007424088,0.00030280286,0.027542219,0.045163423,0.051778425,0.0004109585,0.00089203863,0.0009764658,0.00071634445,0.00039101852,0.00020496953,0.06890506,0.00080125907,0.009892447,0.08591803,0.013884705,0.095614225,0.0017367179,0.0005063291,6.8277122e-06,5.8044272e-05,6.420092e-05,1.7613436e-06,0.0017683374,7.9606965e-05,3.931262e-06,0.0011991805,0.004501257,0.00024014882,3.3729895e-05,0.00042335622
40,0.0055646403,9.2412854e-05,0.19210957,5.6405297e-05,3.3511387e-05,3.4028162e-05,0.009782799,0.0012268068,3.2753956e-05,1.8586401e-05,0.011951128,0.009188215,0.15354878,0.0005576617,3.2506938e-05,7.18702e-05,0.0010516836,0.4928012,0.00050117593,0.00077079306,0.002513168,9.0344074e-05,1.0247982e-05,0.0002713255,0.0037325085,0.00026138846,1.5791766e-06,0.001067526,0.0011838257,0.00039753396,0.00889766,1.5463813e-05,1.0685269e-05,3.8063863e-05,0.017900016,0.0022171214,0.0031878792,4.4771412e-05,0.00012833749,1.1553772e-05,4.036328e-05,4.3744087e-05,0.02211514,0.00028711007,0.0011399955,0.0348063,0.0013618921,0.00037053745,7.4332274e-05,0.0007987958,0.0061210287,0.00057913567,0.00010425535,9.2197675e-05,0.0037449538,4.1635314e-05,0.0007849812,0.0003548161,0.004813987,0.000790887,9.282624e-05,3.3534925e-05
60,0.00066409,0.0011992119,0.007222004,1.6048882e-05,4.864204e-05,0.00013950121,0.027477698,0.00036752038,0.00046180372,0.00015853313,0.0014425294,0.00059570686,0.040981807,2.6373513e-05,3.2344433e-05,2.8146578e-05,0.00018487834,0.87009096,0.0010309955,0.021594753,0.0015678931,4.2095944e-05,8.406473e-05,0.000332638,0.0020420896,7.798842e-06,4.3620657e-06,0.0010738679,4.8517522e-05,0.000107882406,0.0011689895,9.9208455e-06,5.819258e-06,4.2252617e-05,0.00082778954,0.0004453393,0.00090825325,5.6928468e-05,0.00021884189,4.0799816e-05,1.4032711e-05,0.00021511137,0.0016902841,5.7861733e-05,0.0018291041,0.0007197622,0.00054291857,7.673659e-05,0.00026979175,0.0019939544,0.00079369923,8.937825e-05,4.4389813e-05,4.6362544e-05,0.0027338667,2.3821722e-05,0.00015338349,1.2321679e-05,0.003379131,0.002493359,1.9022573e-05,2.1236965e-06
80,0.0012095515,0.004122797,0.0006191715,1.0636346e-06,0.00010334221,0.000110043125,0.11646365,0.0038134821,0.0013430291,0.00044643378,0.0018024861,0.00023437072,0.0049714125,5.56783e-07,0.00015887397,2.6151341e-05,0.00022220491,0.69642544,0.004276519,0.110582955,0.008820693,9.469593e-05,0.0050065196,8.0750084e-05,0.001815132,4.942539e-05,2.4898052e-06,0.00022703307,0.00027686128,8.604996e-07,0.00026338678,0.00011819832,3.725272e-07,0.0007613775,0.0001844403,0.00014669294,0.002249879,0.0009666141,7.6526485e-05,7.863056e-06,3.5077157e-06,0.00015736854,0.0004514729,0.0003520615,0.0001944753,0.006863977,0.00025287093,3.3402014e-06,4.646393e-05,0.001648763,0.0001519702,0.0005347029,7.5722232e-06,0.00062701013,0.00067175383,9.2998795e-05,4.3299762e-05,8.47336e-05,0.01427322,0.005149603,0.0002941141,1.1469406e-05
100,0.00013711254,0.15639865,0.00025634843,1.4930993e-07,2.7640666e-05,0.00010446352,0.06744268,0.0013611232,0.00014341142,0.00017883563,0.0002603291,0.0003049966,0.034835782,4.6328623e-07,0.00031086642,2.7822689e-05,0.0011873223,0.3380077,0.001145636,0.27174008,0.0029739286,0.00011019033,0.00012276914,5.3549115e-06,0.015661865,0.0037786928,3.2136388e-05,0.0008836069,0.00032699693,5.4432585e-06,0.003999747,0.00011579318,3.4390396e-06,0.00065064215,0.0033698522,8.971151e-05,0.00013105109,0.0031691226,0.00039198768,1.9217621e-05,3.102964e-05,0.0005891805,0.0018830393,0.00020384841,9.4376395e-05,0.017369956,0.058712117,0.0010000385,0.0003245158,0.00064230035,5.391728e-05,0.006903694,3.018011e-05,3.7265024e-06,0.00020375762,0.00020759448,0.00038448063,0.000112400325,0.0011401682,0.0002454171,9.871013e-05,5.2661453e-05
120,2.1713715e-05,0.6482633,0.0003400074,4.821049e-07,1.2582145e-06,0.00015292678,0.039616913,0.0011445053,0.006389102,0.0046695457,0.005731683,0.00013860918,0.0033676003,8.133209e-07,0.0019623297,2.2810085e-05,0.010388324,0.0057795467,0.0051998165,0.012770724,0.000119230106,0.0059599937,6.700541e-05,3.9102993e-05,0.00096554967,0.06032572,9.56114e-06,0.00070594996,0.025027098,4.0904277e-05,0.0011626378,0.00043099813,4.7780427e-06,0.002884266,0.00020874434,0.0011004959,0.00037827273,0.03177215,7.1218295e-05,0.000105370294,1.02237755e-05,0.0017398611,0.043056134,0.00019238741,0.000115222174,0.013531114,0.009136266,0.0073836576,0.00032097028,0.0016274181,0.00019103209,0.0059441086,5.5298235e-05,2.6388757e-06,0.00016725849,0.0004918128,0.00018704902,0.0008577326,0.00028491192,6.0608927e-05,0.03729423,9.051601e-06
140,0.003456294,0.39169666,0.00196055,1.3182043e-07,2.1464236e-06,0.0003892985,0.13989717,0.0005513644,0.0025311348,0.008380194,0.0012624622,3.2876964e-05,0.014006781,1.9789431e-06,0.0001243067,3.4776458e-05,0.014766535,0.02142699,0.048349425,0.042151537,0.00053987757,0.0029105127,0.000109553825,0.000110936584,0.0034961528,0.054569658,0.003842574,0.0112967305,0.0070738522,8.242568e-05,0.0029699083,0.00087437255,1.1491016e-05,0.012293847,0.038738087,0.0007042238,0.00050173246,0.0054515437,0.0010787608,0.0001308421,3.3210978e-05,0.004155704,0.009367965,8.010463e-05,0.00056535355,0.087327674,0.021691214,0.01498807,0.0039016248,0.0006558903,2.2866741e-05,0.013755086,3.4526463e-05,3.8129468e-07,4.798729e-05,0.00017341935,4.9788643e-05,0.00015494836,0.004693049,3.2307347e-05,0.00014436468,0.00031474122
160,6.152892e-05,0.060244676,7.2053714e-05,7.167897e-07,1.1061243e-05,6.078934e-05,0.012446843,0.0014060691,0.06514245,0.017256798,0.017525055,4.2759388e-05,4.760909e-05,5.885483e-07,0.00022724725,0.0021658596,0.14456663,0.18166417,0.0006413004,0.02024966,2.6838363e-05,0.018132841,8.222205e-05,0.00013146589,0.0080020595,0.000105491745,0.00012924123,0.28618252,0.0058377893,6.2005296e-05,0.0020484168,7.279369e-05,2.7576561e-06,0.009533331,0.008536237,0.00031140118,0.00039533759,0.082460746,0.00013321605,2.7060069e-05,0.00033765452,0.0005839456,0.016672352,2.3226346e-06,0.0005675579,0.006548623,0.017105386,0.0052337525,0.00046760557,0.0014638891,0.0001015639,0.0033369332,6.860894e-06,2.0582554e-05,1.234092e-05,4.8706002e-05,1.5188041e-05,0.00015983137,0.0010485401,4.7291647e-05,0.00012610904,4.5322297e-05
180,0.0015986761,0.033918176,2.5621403e-05,5.5608314e-07,2.7691165e-06,1.6290755e-05,0.018242229,0.00034481875,0.0026590736,0.0034163687,0.0016138899,2.7406946e-05,0.001779148,3.4048453e-06,0.00040676008,8.290573e-05,0.004229435,0.8193085,0.003967404,0.0055967816,6.2762985e-05,0.0005980928,0.00014044282,0.00020290034,0.00028185552,4.1062667e-05,0.0001765229,0.032421373,0.0014397543,4.9288346e-06,0.00067610154,0.00010012074,3.3821768e-06,0.017269772,0.007823714,2.784161e-05,0.00011564289,0.001440794,0.0007805795,1.5853633e-05,7.3064635e-05,0.00019516885,0.010165861,1.7959343e-05,0.0016514795,0.0044420934,0.015811987,0.0014011384,0.0013792934,0.00023246279,2.435526e-06,0.0024234504,4.4849207e-06,2.6098946e-06,0.00024207927,1.6964239e-05,1.3480909e-05,0.00048972375,0.00031254042,4.4289904e-05,2.2340191e-06,0.00021156577
