,0
Zorg,13.569994627895044
Werk,13.189028395940955
Europese Unie,9.23409655193075
Pensioen,8.773776876829999
Woningmarkt,8.59827876626897
Onderwijs,6.332949699405899
Politiek & verkiezingen,5.6010374026437235
Criminaliteit & geweld,4.220028999977257
Klimaatverandering,3.969307591244243
Bedrijfsleven & economie,2.9721972641041816
Coronavirus,2.823228006735995
Defensie,2.5710110103057904
Asielzoekers & vluchtelingen,2.407871079944705
Natuur & dieren,2.291465232960483
Consumenten,1.6377209796645535
Sport,1.4689015246598522
Vakbonden,1.1312389191502237
Landbouw & boeren,1.0890871145375614
Medicijnen,1.0724527727602713
Rechtbank & rechter,1.068255709378744
Politie,1.0023709495497257
Islam,0.7776111056229039
Branden & brandweer,0.5907790792714385
Cultuur & musea,0.4309867629864981
Duurzame energie,0.424111915228452
Zwangerschap & abortus ,0.4071406210901828
Demonstraties,0.3888530058595714
Corruptie & fraude,0.33724057573796123
Voetbal,0.246974405575119
Oorlog & conflicten,0.20460712283714272
Koningshuis,0.2031536478964582
Verkeer,0.19534942673247566
Afval,0.13388972191509035
China,0.12192887735457483
Natuurramp & extreem weer,0.1154013372097306
Aanslagen & terrorisme,0.10938576576565397
Banken,0.10418928219514027
Olie & kolen & grijze energie,0.09575534430856078
Veehouderijen & vlees,0.08834252652412634
Discriminatie,0.0
Diplomatie,0.0
Diefstal,0.0
Inlichtingendienst,0.0
Criminaliteit & drugs,0.0
Ruimtevaart,0.0
Stikstof,0.0
Gas,0.0
Mensenrechten,0.0
Wiet,0.0
Christendom,0.0
Scheepvaart,0.0
Festival & feesten,0.0
Prostitutie & mensenhandel,0.0
Homoseksualiteit,0.0
Kernenergie,0.0
Data & privacy & algoritmes,0.0
Vakantie & tourisme,0.0
Vliegen,0.0
Studielening,0.0
Reizen & Openbaar vervoer,0.0
Belasting,0.0
Seksueel misbruik & seksualiteit,0.0
