,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.00014028234,0.017952321,0.00030375327,1.9139025e-06,0.00014472603,0.001138707,0.020198682,0.00222342,0.44818828,0.011072442,0.0027059042,9.274011e-06,3.2950982e-05,1.2719731e-05,8.191861e-05,0.00586056,0.013199424,0.006638374,0.0011728812,0.021969879,0.0028610777,0.01690052,0.0005061156,0.00075405696,0.00066599343,0.0042856727,8.292448e-06,0.0002601346,0.014321877,8.95812e-05,5.1957533e-05,0.0054190992,1.6795578e-06,0.0014088247,0.00023382553,0.00033035327,0.0007843878,0.13096388,0.00857316,2.823697e-06,0.00017301943,0.0018233403,0.0027966935,7.1664996e-05,0.00035283616,0.0578188,0.019178603,0.14295787,0.009567641,0.015180048,1.3804596e-05,0.0017255214,9.41344e-05,0.0002446338,0.00038928873,0.00010744066,5.023912e-05,0.0007584014,0.00023987942,0.0044852053,0.0004231523,7.5957e-05
20,0.0006977347,0.004423869,0.0013425421,8.6585726e-07,6.95938e-05,0.0023559171,0.009873438,0.008812264,0.00048280178,0.005510879,0.007915306,0.00032872983,0.00028250154,5.102579e-07,5.9961898e-05,0.0005205396,0.0042534773,0.0071555413,0.001238147,0.00024344433,0.04917352,0.00064147956,0.0015333112,1.0052376e-05,1.9493702e-05,0.0063633407,1.6744511e-06,0.00028656956,0.02828664,3.0401698e-06,0.00012049361,0.0033616934,1.6248238e-06,0.0012445259,0.00027205277,0.00021458298,0.002867726,0.81268287,0.0022338335,2.7423205e-06,9.751096e-05,6.2461045e-06,0.0063955104,0.0015096323,0.00018843648,0.0123804845,0.0014182258,0.0018251408,0.00039037876,0.00014696474,3.4147824e-06,0.00016220185,5.8737005e-05,1.895649e-05,7.708477e-05,5.7101397e-06,7.3584883e-06,0.0012747444,0.0030115899,0.005755532,1.08320555e-05,0.0003659849
40,0.016872693,0.0033835603,0.0007371278,1.0675024e-06,3.3502234e-05,0.0013465312,0.010637604,0.0073823407,0.0006236033,0.0411497,0.0025988196,1.610334e-05,0.00074119924,6.8807805e-07,0.00010216698,0.00014264583,0.0005174748,0.0714382,0.0010867777,0.00013775087,0.39569855,1.5697437e-05,0.0037637923,1.5378193e-05,3.5785083e-06,0.005448576,1.4668755e-06,0.0035784524,0.010565783,1.2024249e-06,0.0002530695,0.0012766211,4.3186643e-07,0.0021521703,0.0010652621,0.00037989448,0.024853213,0.17783685,0.017788362,1.8802168e-05,5.734396e-05,3.6385187e-05,0.024402382,0.0105506545,2.841987e-05,0.023692146,0.0021985876,1.555922e-05,0.00039939323,0.0006565941,3.4658744e-06,0.00027394772,9.1176835e-06,0.0019988099,0.00020473302,4.5391993e-05,2.4995347e-07,0.061812997,0.060562633,0.008115501,1.5058655e-05,0.0012538825
60,0.0032069532,0.0068976707,0.0006792394,1.2486001e-06,5.7093384e-06,0.0017483868,0.008602674,0.00091080123,0.0017570191,0.042530466,0.00038277468,3.0154106e-06,0.000486475,2.3498335e-06,8.330915e-05,7.785523e-05,0.00022606789,0.5792823,0.0007229887,2.6092639e-05,0.017697375,2.9271074e-05,0.003598144,1.9427853e-05,2.9864639e-06,0.0068508442,6.798778e-06,0.017153174,0.0015512295,3.6591775e-06,7.8729536e-05,8.802865e-05,2.5660067e-06,0.00017281606,0.00028754823,0.00020056796,0.009827982,0.019849898,0.031521164,1.5397489e-05,3.6917696e-05,0.00019450995,0.1317215,0.009547791,1.645586e-05,0.014230873,0.011417703,5.62203e-05,0.0010764606,0.0021576134,5.165765e-06,0.0002002891,2.9101593e-05,0.00020069977,0.00018916617,5.979747e-06,2.3341218e-07,0.059516426,0.011690283,8.7357315e-05,3.0139213e-06,0.001025178
80,0.0015758035,0.013863495,0.0037544721,4.578651e-06,1.578864e-05,0.0003414068,0.016668389,0.00017586417,0.006442036,0.07213972,0.0002456645,4.403388e-06,0.00013093259,5.3765657e-06,0.00037482232,0.0007580383,0.010127199,0.44654867,6.709345e-05,0.00033556114,5.8211182e-05,0.0011507953,7.633947e-05,0.0003870476,6.596127e-05,0.0010069123,2.5933014e-05,0.029531071,0.00012904727,5.2907694e-07,0.00013824514,1.7886696e-05,1.996904e-06,2.8435035e-05,0.00046358324,7.645563e-06,0.0021694521,0.006475183,0.1846147,8.402047e-06,9.1232294e-05,3.515569e-05,0.16594017,0.00013596253,1.3008735e-05,0.023663318,0.0036302658,0.0005411605,0.00030873594,0.0023421359,8.196686e-05,0.00023402474,6.912109e-07,1.1929844e-05,0.00038623,2.9100964e-05,1.13782335e-05,0.0023916871,3.1249903e-05,4.367021e-06,3.9536175e-07,0.00017911261
100,0.00013967654,0.036712978,0.0020800016,2.3999093e-05,3.6618967e-05,0.028920278,0.03578186,0.00086135237,0.039785296,0.074961394,0.002725331,6.573513e-06,0.00028363234,4.7913077e-06,0.00082711125,0.0037998434,0.009271171,0.36459756,0.000100319034,0.0003557025,0.00017682146,0.027080039,3.0443012e-05,0.0001917162,1.2030026e-05,0.00027049403,1.3923634e-06,0.0032086913,0.00046662163,2.1352719e-06,3.2908072e-05,0.0010331151,8.280722e-06,0.001747094,0.00024803123,4.7517326e-05,0.0051791496,0.09848928,0.0123781385,2.3573495e-05,6.921604e-05,1.9403891e-05,0.2139258,0.00019451116,4.084155e-06,0.025660766,0.0015549302,0.0013187262,0.0012062906,0.0012852644,4.6317225e-05,0.0001820963,3.1090444e-06,4.0500727e-05,0.0011642252,1.7250752e-05,1.8380023e-06,0.0013376658,6.2221047e-06,5.6959725e-06,2.5893773e-05,2.7230377e-05
120,0.00014035046,0.071841806,0.0030532293,2.872584e-05,4.68417e-05,0.0042571984,0.0030263567,8.297316e-05,0.00021911148,5.757284e-05,0.008601369,9.71953e-05,8.710794e-05,5.834061e-06,0.00037607632,0.0012000604,0.0017077837,0.5573727,0.0024424868,0.00085674704,6.79693e-05,0.0007547977,4.725896e-06,0.0021880614,9.618389e-05,4.452506e-05,0.0009150583,0.2702499,2.8050334e-05,9.924477e-06,0.000102415856,0.002891511,3.5890585e-05,0.0023037267,0.013973694,0.00014692875,0.00026506296,0.028836994,0.00022066644,2.1151429e-05,0.00521028,2.8665443e-07,0.0012941435,1.398077e-05,0.00041392358,0.0011914863,0.0023059412,0.00051344396,0.008821306,2.5444559e-05,7.951855e-06,7.443804e-05,2.7771155e-06,1.3767936e-07,0.000208548,8.770785e-06,0.00015767787,0.0002412375,9.541961e-07,7.676345e-06,2.7202359e-05,0.0008137624
140,0.00012929723,0.09739417,0.006836788,6.185449e-05,3.3100056e-05,0.030946417,0.023541383,3.3520075e-05,0.00074146857,0.0013690909,0.009435941,0.0024375918,0.020671979,0.00017754718,0.0002615065,0.00065405574,0.032357235,0.38771516,0.015697317,0.00026134713,0.0002889919,0.0015698341,0.0001637623,0.025435084,2.2955843e-05,3.8898295e-05,0.002509518,0.21178603,1.5381078e-05,0.00015382655,0.00067588204,0.00017275893,0.000498573,0.001557478,0.0014187867,0.0004889276,0.00022612061,0.010705559,0.0001408228,0.00010915884,0.0075077526,3.9508628e-05,0.002242264,0.00017344035,0.0008641619,0.0003100638,0.004109769,0.02760666,0.049452353,0.00022667738,0.0016512738,0.000998912,3.6073682e-06,1.8355488e-09,0.006925551,0.002374479,0.0056295986,0.00051830284,1.5386697e-05,7.1316954e-06,5.8590624e-05,0.00054947037
160,0.0025996629,0.034495246,0.029866159,2.557019e-05,3.356993e-05,0.00057971233,0.002559143,2.7004953e-05,0.0011676543,0.012931388,0.0064628874,0.010465298,0.012858438,0.008169089,0.00038217954,0.0003642292,0.008690128,0.17035638,0.02102073,3.2980977e-05,0.0002158971,0.0015702974,6.603638e-05,0.013905949,7.4471322e-06,9.414309e-05,0.000859348,0.23605065,0.00012228552,0.0013333549,7.363811e-05,0.00017903616,0.0011621932,0.0017600167,0.00041328644,0.00078453164,0.00021248746,0.020057373,0.0008454574,0.00047969542,0.00971816,1.2285073e-05,0.32617858,5.2378484e-05,0.0033626156,0.003353024,0.009156153,0.011496059,0.009281184,0.0004150886,0.0006258196,0.0006462528,3.36101e-05,4.5694605e-08,0.0074020787,8.544692e-05,0.008392666,0.0021884837,2.3445926e-05,1.0266399e-05,1.6572138e-05,0.0042692823
180,0.0023024073,0.0020279437,0.0049390993,7.4146583e-06,0.00010474181,5.3328615e-05,0.018215941,0.0013285045,0.00010115168,0.0070289257,0.0005061841,0.0011762009,0.01159079,0.00065960933,3.3800636e-05,0.0010567857,0.01547709,0.00089186174,0.0018590908,0.0003644984,0.008381193,0.0020279652,1.6679076e-06,5.1038916e-07,4.880718e-05,7.129513e-05,2.842207e-06,0.0004905795,0.0003051278,1.841849e-05,0.00085410656,5.708758e-05,1.8855879e-07,0.00024300595,3.5455614e-05,8.4514606e-05,0.00033561606,0.10288052,7.581941e-05,0.0008205575,1.4949744e-05,3.0795396e-05,0.7685151,6.9759903e-06,0.019581208,0.0006989828,0.00049634423,0.016217498,0.0046723415,0.0004205838,3.6133704e-05,2.5546726e-05,0.0002559318,3.1900224e-06,0.0008686322,4.061745e-05,1.8475124e-05,0.00029181442,0.00033629194,0.00060861866,0.0002556758,0.0001437196
