,0
Onderwijs,15.20375732097738
Werk,14.31650845125943
Europese Unie,12.171226273937789
Bedrijfsleven & economie,5.484013591745072
Zorg,4.49043254070285
Politiek & verkiezingen,3.7272485366097543
Woningmarkt,3.559033479295906
Cultuur & musea,2.9011414129407487
Natuur & dieren,2.6514564989589053
Discriminatie,2.5478257573773577
Criminaliteit & geweld,2.536485793339409
Asielzoekers & vluchtelingen,2.3671104287682745
Rechtbank & rechter,2.3667511150115765
Politie,1.7425704504033184
Oorlog & conflicten,1.6790151998115472
Consumenten,1.622143743659323
Klimaatverandering,1.5228382948195638
Mensenrechten,1.4815822500910218
Defensie,1.46546864066033
Landbouw & boeren,1.4642893050600811
Zwangerschap & abortus ,1.4194391904994816
Demonstraties,1.0688074355488366
Seksueel misbruik & seksualiteit,1.0062780187169906
Duurzame energie,0.9363835889270737
Coronavirus,0.8222417456430627
China,0.7560801765213124
Data & privacy & algoritmes,0.7264117711700249
Sport,0.6026301470785028
Belasting,0.587168378699299
Vliegen,0.47649383372926346
Banken,0.47503388013428904
Prostitutie & mensenhandel,0.4680876777663343
Reizen & Openbaar vervoer,0.46689056719049105
Olie & kolen & grijze energie,0.4472507127744083
Medicijnen,0.3657298995978106
Natuurramp & extreem weer,0.33620969537232215
Vakbonden,0.3279820732238032
Homoseksualiteit,0.325574038104124
Verkeer,0.3094870055913611
Christendom,0.2956093895363905
Pensioen,0.27728440462070786
Wiet,0.2230530543521631
Branden & brandweer,0.22194528103293729
Afval,0.2217471238112189
Criminaliteit & drugs,0.20245728006468658
Gas,0.18468645273867804
Voetbal,0.1518346340385442
Aanslagen & terrorisme,0.12978160852644074
Islam,0.12632350638583192
Ruimtevaart,0.11847364816514733
Veehouderijen & vlees,0.09854828385327973
Inlichtingendienst,0.09633775876960113
Koningshuis,0.09250879972124951
Diplomatie,0.08952587562841417
Festival & feesten,0.07180362246009896
Kernenergie,0.05351242078327255
Corruptie & fraude,0.04242296028260735
Scheepvaart,0.0350726086618496
Studielening,0.03132533073165319
Vakantie & tourisme,0.010667034116789752
Diefstal,0.0
Stikstof,0.0
