,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,2.2672542e-05,0.51603585,0.0006486359,1.47602295e-05,0.00038572974,0.037507173,0.007255856,0.0021932512,0.05212868,0.009640233,0.0059144157,9.037769e-05,0.029658882,0.00078965904,0.00094175397,5.447303e-06,0.002263431,0.005531401,0.0011142815,0.00034056552,0.024022406,0.0041407906,7.870748e-05,0.0004608597,0.00094732863,0.0010785754,3.7709701e-06,0.0013169227,0.0036389187,0.00094888033,0.0021428305,0.00059539446,1.1530968e-05,0.004427261,6.0012928e-05,0.0076664886,0.00016926634,0.0012627997,0.0004224567,0.0003261366,1.1222957e-05,5.8562226e-05,0.00057009,0.008649052,0.005569894,0.002058284,0.0043413355,0.050892826,0.13118522,0.001980048,0.00046691144,0.00636813,0.013821122,0.00064307527,0.028356498,0.01339843,1.0041704e-06,0.00019694988,1.697534e-05,0.004274661,0.00086746353,6.7936955e-05
33,2.328939e-05,0.18487316,0.00047481322,6.8670096e-07,0.0005566539,0.002588395,0.020089932,0.00060812256,0.03888915,0.0013353499,0.0076463525,3.6874386e-05,0.0030604117,0.0005763182,0.00044312878,0.00010697277,0.14924064,0.010648287,0.0003494397,0.0005309826,0.008074292,0.0037642794,3.4197034e-05,0.00025087962,0.00034402515,0.0012580496,1.4620145e-05,0.008118918,0.00063852844,4.8505794e-05,0.008125727,0.0006335754,6.1291644e-07,0.0060294215,4.936638e-05,0.0012233817,0.00010292076,0.0047957962,0.00032688558,4.1989562e-05,1.0709345e-05,2.7611033e-05,0.0031684113,0.0023360394,0.03229988,0.0014295961,0.0015942869,0.21773797,0.22341351,0.00070449343,0.0040061036,0.0126362145,0.0015891697,0.0001078858,0.004086078,0.02325124,2.4758738e-06,0.0036406703,2.007114e-05,0.0007840487,0.0009200595,0.00027847354
66,1.7488893e-06,0.15410914,0.0006121192,9.115598e-07,0.00055896165,0.001264702,0.19961692,7.051853e-05,0.0016151774,0.024670506,0.007386288,0.0010355929,0.0032038635,2.2003367e-05,0.03855585,1.8883105e-05,0.11347804,0.005443202,7.5378935e-05,0.00015134225,0.0032065765,0.00029561465,3.8396054e-05,3.9617502e-05,0.001968501,0.00044095662,3.152776e-05,0.08849562,0.000676109,0.00022030433,0.0030435333,0.007666209,1.2057132e-05,0.08887607,0.00040106615,0.057032954,0.0003242445,0.052025978,0.00030482697,5.4314565e-05,0.001428124,0.000101650745,0.001097681,0.00020322498,0.008396758,5.2691874e-05,0.001894764,0.012943067,0.0047825305,0.035246033,0.00029908642,0.0020424356,4.331198e-05,5.791099e-05,0.00094164535,0.038239505,2.6993139e-05,0.024839645,0.0001403279,0.009870659,0.000199298,0.0001070579
99,2.2293968e-06,0.022711538,0.00026288303,1.9988214e-07,3.5025635e-06,0.00020746238,0.01088962,0.0002478815,0.0016806109,0.056824226,0.0014372023,0.00020377975,0.004099782,1.5860951e-06,0.059513353,7.0213915e-05,0.023472926,0.07092889,4.1761516e-05,0.00024224675,0.0016030052,3.2235665e-05,2.9379918e-05,3.164141e-06,0.005823644,0.0009259143,4.928927e-06,0.2548567,0.0011971655,0.0008199849,0.00026711714,0.006818614,4.5120192e-05,0.17225383,0.005032233,0.092590526,0.00021579131,0.10554654,0.00018053663,9.474439e-06,0.01801867,2.939555e-05,0.002039372,2.041992e-05,0.0054258797,0.00025732606,0.038230382,0.006397187,0.0012383423,0.009845355,2.4194956e-05,0.00041957575,6.0696316e-06,1.8830846e-05,7.2164394e-06,3.4200137e-05,8.1040234e-05,0.010203101,0.000343766,0.005939761,0.00018806885,0.00013404776
132,4.1297835e-06,0.0029246283,1.44888945e-05,2.2843999e-07,3.1351126e-06,0.00015170194,0.0021732468,0.00012363997,0.0062782504,0.0047053504,2.9884972e-05,8.173631e-08,1.4776267e-05,3.1097347e-08,1.4384178e-05,2.4940575e-05,0.00010805964,0.27555326,3.0153562e-05,0.00017943102,0.00011363946,1.5497417e-05,3.1656953e-05,2.4152518e-05,0.0003659008,0.0084262295,0.0001854163,0.65210456,0.005628199,0.00084662286,5.9802576e-05,3.9369843e-06,3.173048e-05,0.0007072854,0.00023943828,0.025126297,0.00025618993,0.0015400859,2.4761423e-05,7.525602e-06,0.00031522638,1.0670458e-06,3.3854303e-05,9.476739e-06,0.00010376481,0.00011941057,0.0076168105,0.002723328,1.626605e-05,0.0004787097,4.2348285e-07,0.00011028063,1.93627e-06,6.0570534e-07,6.1290456e-07,5.75575e-06,1.7704082e-07,0.00019996794,1.1942284e-05,3.7923735e-05,8.113644e-06,0.00013154339
165,6.2357445e-05,0.0041593434,0.00025928332,1.1900892e-06,3.229923e-05,0.002036483,0.015014684,0.00014490295,0.5121084,0.020375539,1.5217637e-05,4.2171123e-07,7.814106e-06,1.1032704e-06,4.8800946e-05,0.00020215967,0.00047768673,0.24844642,0.0034614913,0.00016484443,0.00012979656,0.00026515056,0.0042327684,0.00044194976,0.0034351228,0.024737932,3.16764e-05,0.022734089,0.025631482,0.0012846552,1.7300674e-05,1.7617522e-05,4.1103885e-05,0.0009241955,7.505604e-05,0.028493814,0.0060681603,0.011082801,0.00013526605,1.5441976e-05,0.00035737784,0.00022505077,0.00016051128,5.4022094e-05,0.0008515274,0.00027339597,0.049541038,0.008737817,8.8349116e-05,0.00048259506,3.827972e-05,2.5642945e-05,2.1164326e-05,2.3643238e-06,3.5150968e-06,9.709043e-06,3.0135527e-06,0.00096446846,0.00039976332,0.00010153592,5.7385732e-05,0.0007856703
198,1.9333198e-05,0.04853089,7.540128e-05,7.291427e-07,2.7456534e-05,0.00015669838,0.008216068,0.0013281495,0.403417,0.061729565,0.0001059956,1.2954672e-05,5.4223487e-06,8.808831e-06,3.9212778e-06,0.0026294936,0.0085990615,0.12861088,0.011284726,0.0006117883,0.00011270127,0.0017178879,0.0005036313,0.00022597604,0.00026710753,0.002577656,2.2076236e-05,0.004933928,0.0012979821,0.0005381756,2.3928056e-05,0.00017841045,5.117912e-05,0.011297244,8.877361e-05,0.014305897,0.0024435548,0.15593664,3.0585754e-05,0.00025497715,0.00019425937,0.003232325,0.00081028533,4.0800845e-05,0.003365898,0.00035913597,0.037788134,0.07891617,0.00015537336,0.000988005,2.8926584e-05,0.00032563298,7.418227e-05,4.2025447e-05,4.3384043e-06,3.2208285e-05,9.201897e-06,0.00026363484,0.00033179432,0.00018592045,0.00021581528,0.00045327278
231,0.00010614336,0.0017440264,4.8945225e-05,6.0406196e-06,3.1361835e-06,2.7382455e-05,6.178838e-05,0.0023686762,0.009456877,0.002713502,0.00039202737,0.00052112277,0.00034829433,1.0886718e-05,2.1401318e-06,0.00037024735,7.4727905e-05,0.054833014,0.0033555264,2.3271657e-05,0.0024707927,8.926394e-05,0.00011348893,5.0484483e-05,1.9009367e-05,0.0001700007,4.768051e-08,1.8610732e-05,0.0007956348,0.0008101705,4.0125333e-06,0.00012982832,3.9118513e-06,0.003647594,0.000117938274,0.0011421782,0.0138669945,0.88437235,0.0025311713,3.9803137e-05,9.344305e-05,6.666579e-05,0.00020860476,0.000947797,0.001660255,0.00040724248,0.0027789401,0.0036876707,3.6663292e-05,0.00017690076,1.6089687e-05,0.0010797603,1.049857e-05,0.0010398641,1.3336199e-05,2.8837085e-05,5.3128997e-06,5.4410182e-05,0.0004201864,0.0003594437,3.308833e-05,1.3845173e-05
264,4.6028876e-05,0.014915383,8.04728e-05,8.936157e-05,5.684306e-06,0.00012922125,0.0002490581,0.00475311,0.0008373466,0.0010090704,0.0012790364,0.0012026179,0.0007428272,1.6700951e-05,3.8176404e-05,3.359911e-05,2.7854901e-05,0.027398959,0.0032424782,5.4527238e-05,0.003669959,9.674453e-06,6.212023e-05,0.00015156079,2.9585468e-05,9.458553e-05,2.6934611e-08,1.2724503e-05,0.0005020316,8.9023204e-05,5.1741854e-06,0.00054161035,9.729696e-07,0.0026150057,0.00011209087,0.00011016696,0.035987888,0.8821462,0.00068666623,8.5451014e-05,0.00014866155,0.00024716713,0.00014232873,0.0017634899,0.0032772818,0.00022634526,0.0029177167,0.0024594,7.656823e-05,0.00032450206,2.5851876e-05,0.0023572836,1.7290691e-05,0.0018644963,0.00011095353,3.54434e-05,1.2910489e-05,0.00015256154,0.00015760287,0.00059333,1.8939467e-05,5.963536e-06
297,7.6147517e-06,0.10061443,0.00012559803,0.00015950714,9.975025e-06,3.450414e-05,0.0011619435,0.0024482529,0.00011645187,0.0002827672,0.0008339154,0.00338941,0.00990446,2.6244536e-05,0.005105571,6.993172e-06,2.62864e-05,0.15004994,0.015926465,0.0002608669,0.0018180585,3.7616442e-06,4.068857e-05,0.001545137,0.0007214471,1.356703e-05,4.6789714e-06,0.0007335266,0.0001790946,1.1361928e-05,3.5922683e-05,0.0033150488,7.645444e-06,0.008357506,0.00016191197,2.3964696e-05,0.16778845,0.4118483,5.96445e-05,0.0005243363,0.0003187724,0.00035311017,2.2318405e-05,0.002385219,0.074428946,0.0001458935,0.021405933,0.0005472964,3.6333404e-05,0.0015756433,0.0025628274,0.0005538903,1.6553287e-06,0.00036122472,0.00019377373,0.00010310804,0.00012151025,0.00070837873,0.00025026686,0.0061727455,1.0527199e-05,5.5321838e-05
