,0
Werk,17.695574085868255
Europese Unie,12.522433948166107
Onderwijs,9.615744347486105
Bedrijfsleven & economie,8.30508294966602
Zorg,4.869649715713357
Politiek & verkiezingen,3.9671960143055136
Woningmarkt,3.627460467157527
Duurzame energie,3.4334708300066517
Defensie,2.478986701968976
Natuur & dieren,2.467660024783468
Coronavirus,2.115069890882238
Consumenten,2.0544279005608264
Landbouw & boeren,1.9448405065102905
Cultuur & musea,1.7791305055737894
Asielzoekers & vluchtelingen,1.6948625087154847
Criminaliteit & geweld,1.5769880929199211
Sport,1.4992472462307134
Criminaliteit & drugs,1.474877564126549
Belasting,1.4254123755041799
Rechtbank & rechter,1.3416001251669116
Klimaatverandering,1.3385284386719545
China,1.3340491939778893
Pensioen,0.9449574239756828
Oorlog & conflicten,0.8776731888709212
Zwangerschap & abortus ,0.8581881892603613
Medicijnen,0.8052214925391484
Politie,0.7509829732013986
Vliegen,0.734417785105693
Demonstraties,0.6038587599819777
Banken,0.5927638378090411
Aanslagen & terrorisme,0.5403762570017487
Verkeer,0.5373532151329795
Reizen & Openbaar vervoer,0.38637751990899344
Olie & kolen & grijze energie,0.36609451104280416
Gas,0.34302190614292616
Discriminatie,0.27139687884938934
Seksueel misbruik & seksualiteit,0.25326420278126105
Festival & feesten,0.24282707869018608
Wiet,0.22368757533821212
Islam,0.21685510110763642
Koningshuis,0.20196073516316262
Data & privacy & algoritmes,0.18003121888924442
Mensenrechten,0.17669882967426728
Prostitutie & mensenhandel,0.15735179091934237
Natuurramp & extreem weer,0.13277434333401883
Vakbonden,0.10889225339709649
Ruimtevaart,0.1070610364566426
Stikstof,0.09887015693721508
Studielening,0.08349929351067827
Diplomatie,0.07742978740039594
Branden & brandweer,0.07508761965404853
Corruptie & fraude,0.0731794569726152
Kernenergie,0.07002270359272338
Veehouderijen & vlees,0.06747653777905566
Afval,0.05922075134685546
Voetbal,0.05854742962103986
Homoseksualiteit,0.05156816418554599
Christendom,0.045766913191889046
Inlichtingendienst,0.042015163361890526
Diefstal,0.020934483909212563
Vakantie & tourisme,0.0
Scheepvaart,0.0
