,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.0043317145,0.018080885,0.018259358,4.3590358e-06,0.0010761106,3.6803263e-05,0.0026317018,0.07187233,0.0050873896,0.00018156732,0.007279688,0.0009734726,0.00040568024,2.4974099e-05,4.5042743e-05,0.0006812125,0.00032013774,0.22007243,0.01717871,0.0032170922,0.012122164,0.00028778988,0.0008278495,1.8750885e-05,0.00096355664,0.00026279682,1.1741196e-06,0.00033151038,0.000307241,1.0218444e-05,6.969204e-06,0.046235695,0.00014514169,0.08380111,0.12807497,0.035374876,0.003378067,0.06938994,1.2003857e-05,3.6418417e-06,0.0050856923,9.113808e-06,0.0011123252,5.481172e-05,0.002992825,0.17645724,0.0011714207,0.051110383,0.0058756843,0.00034078542,1.3500295e-06,0.00016024592,5.4292115e-05,0.00014629155,9.160201e-05,9.433713e-06,3.9476097e-05,0.0003393136,0.00024773614,4.979825e-05,0.00015810397,0.0011759442
20,0.00013243026,0.045017812,0.00942264,2.896451e-05,0.00018245986,0.0016246795,0.0015653756,0.005423262,0.001299933,0.0010111745,0.00049292884,0.000606718,0.000397359,5.703049e-05,2.3949924e-05,0.0001966093,0.00027878225,0.32307976,4.4220065e-05,0.00035007237,0.00040874942,0.0014259586,6.828033e-05,5.0573362e-05,0.00039039008,0.00013395499,1.8762429e-06,0.0026026496,0.000490271,0.00011920131,1.3079769e-05,0.008993106,0.002945273,0.12221715,0.004097908,0.011020335,0.0015512441,0.24640675,4.377104e-05,1.2910579e-05,0.00013958637,1.5719286e-05,0.00050729216,0.0002877695,0.00022296207,0.04660088,0.0007910872,0.12513603,0.01872134,0.0024851423,2.2796102e-07,3.6678528e-05,0.0014767034,0.00023597357,0.00033707442,4.6772202e-05,8.592545e-05,0.00037271978,3.1060197e-05,1.4834344e-05,2.6641092e-05,0.008197989
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0008936303,3.2716776e-05,0.0012328295,2.6391597e-05,0.018318763,5.682494e-06,0.0003751079,0.05891076,0.00033658356,0.00013209377,0.002286764,5.717991e-05,0.000536111,0.0010817521,1.8817394e-05,9.9507895e-05,8.868175e-05,0.0035352737,0.0005670475,5.7008878e-05,0.048133958,1.4054821e-06,9.421787e-05,2.7781318e-06,0.00023285352,2.3057226e-05,4.5680997e-09,0.00057427346,0.00032986773,1.844585e-06,0.00011598267,0.0004432165,1.7155381e-06,0.00015651477,0.5918106,0.02033444,0.0027696118,0.020043388,0.00019507422,1.4834829e-05,0.15803045,9.0705935e-06,0.00019242446,0.00034468423,0.003771028,0.0026224954,0.03649417,0.0061082826,0.002401013,0.0022461195,0.00014144184,0.00014382925,2.1336891e-05,0.0021142454,3.440428e-05,2.3151073e-05,2.78417e-06,0.010263072,0.0005347348,0.000101010606,0.0004365646,9.1405476e-05
80,0.00011808108,0.010204984,0.025318358,0.00022394255,0.0074957395,0.00025013386,0.00829638,0.016870614,0.0012734986,0.06796716,0.028464982,0.03359207,0.0061085494,0.0003528328,0.0014192609,5.7154382e-05,0.0014851714,0.50991994,0.013297791,0.0018705297,0.012940922,5.9577333e-06,0.005064213,0.0026420404,0.0017956846,0.0006403664,1.0527629e-06,0.0065795635,0.0018063671,1.8280488e-07,3.6058456e-05,0.0012286246,0.00011147192,0.0002380697,0.003980949,0.006045487,0.0015996452,0.099694684,0.00011875016,0.00011998361,0.017924365,8.487508e-05,0.0037044995,0.0008746153,0.01035573,9.1332025e-05,0.028115062,0.049309295,0.0005434493,0.0002640132,0.0001493235,0.0007551562,7.860159e-07,9.014045e-08,0.002706745,0.00011853013,0.00045491135,0.0051086475,4.1165637e-05,0.000115634866,5.4719876e-06,3.9115683e-05
100,1.1958633e-06,0.95571786,0.002446173,2.6712718e-05,3.4208373e-05,0.000392102,0.0008105339,0.008706488,0.00012565081,0.0005195794,0.00073505123,0.00030126522,0.00011710019,5.875821e-06,0.00026273195,2.4917563e-06,6.656995e-05,0.0072635547,5.5275046e-05,4.330463e-06,0.0002897589,8.434131e-06,0.00076921954,7.4101814e-07,1.5546912e-05,0.00035415104,8.28711e-08,0.00043308706,0.00013397507,4.8328467e-08,8.540364e-06,2.2905637e-05,9.260992e-05,7.139304e-05,0.00016218395,0.0035794312,3.198036e-05,0.007747335,5.905097e-05,7.650767e-06,0.00024544503,5.975785e-06,0.00057242706,0.0010637912,1.1048756e-05,0.0003222332,0.00036163424,0.0027058707,0.0018384282,4.683704e-05,2.6500294e-07,1.2265574e-05,1.7547552e-05,1.3921459e-07,3.0485493e-05,7.368362e-05,3.394865e-05,0.0010768983,1.1441508e-05,1.5489567e-06,1.8139708e-05,0.00016712099
120,3.878652e-06,0.66108793,0.0016425005,0.00050934765,3.5306664e-05,0.00025782254,0.0003659541,0.0012935743,0.0002521249,0.0007861472,0.0006520536,0.00042096502,4.6900575e-05,1.1765678e-05,0.00051831524,4.0023615e-06,1.26095465e-05,0.25698993,0.0004076612,1.6077898e-05,1.851855e-05,0.00015572921,0.0011029411,0.00011490394,0.00015074888,0.0022418324,2.1148444e-06,0.020604672,0.00059657486,6.884355e-06,4.069773e-06,2.230094e-05,0.01571106,0.001320846,9.9767705e-05,0.0045025647,0.00017237771,0.013618321,8.743435e-06,6.264987e-06,0.00015662501,1.1748008e-05,5.2039206e-05,0.0026257094,0.00012490788,0.00081243506,0.0034899334,0.0007472294,0.0010313739,3.361727e-05,8.0986274e-07,5.870879e-06,1.146295e-05,1.219104e-06,2.772904e-05,5.7336797e-06,9.435277e-06,0.0032622055,2.3516992e-05,2.140345e-06,8.6129985e-06,0.0017795587
140,3.397351e-07,0.35283464,0.00092161197,0.0026606172,0.00045141173,0.00013482409,0.0015579952,0.0012692641,0.0001898933,2.4850531e-05,0.003866116,8.66804e-05,0.000101740414,1.8006012e-06,0.0074626417,2.6117204e-05,5.2464043e-06,0.50779563,3.9267128e-05,0.0010158368,6.9013277e-06,0.00038008843,3.4061963e-05,1.2966148e-05,0.0037681265,0.00063567905,6.089131e-07,0.0052544326,0.000710311,1.823508e-05,9.021193e-05,0.00041897647,0.00503681,0.0036575212,0.0003832152,0.0073463735,0.00016957748,0.07405824,2.6765006e-06,1.8977784e-06,0.00015959446,9.994296e-07,1.6638474e-05,0.00037716326,0.0021628682,0.0009246939,0.006977597,0.00084811094,0.002705308,0.00021580824,6.264425e-06,1.8813537e-06,8.087967e-06,2.912972e-05,8.511811e-06,6.6474986e-06,1.8106539e-05,0.0026624727,2.0193481e-06,3.3065007e-05,0.00021637796,0.0001852113
160,5.2492185e-05,0.005287227,0.01154248,0.0031464617,0.0021267177,0.00029463042,0.012245392,0.00090319925,4.4898807e-05,3.6615587e-05,0.003604559,0.0024043273,0.0011724746,3.9224435e-07,0.053253513,0.00012622033,6.843232e-05,0.4826387,3.9306105e-05,0.003571261,2.2011163e-05,1.9480967e-05,2.5589237e-05,0.00056663755,0.0010060308,0.00012976985,2.3466047e-05,0.057452857,0.00047961343,3.49521e-05,0.00017705665,0.00073593983,9.95804e-05,0.00070085126,0.0009727109,0.0010775072,0.0037795259,0.30655745,8.7179915e-06,9.603989e-05,0.0009499381,8.80221e-08,5.7971283e-06,0.0014218942,0.0110623315,0.0001222275,0.0015153581,0.00032154514,0.00012715967,0.00064745016,0.007895641,1.512805e-06,1.6400454e-05,1.8605895e-05,0.002249848,5.618957e-05,6.3655534e-05,0.003240975,3.218137e-06,0.013454296,0.00029882937,1.8803853e-06
180,5.535887e-06,0.014705585,0.006427486,0.0026287497,0.014018451,0.00068845705,0.01975571,0.00037112398,8.657697e-05,0.002692658,0.079994716,0.0011122421,0.090138316,1.3249341e-05,0.0014708112,4.5862682e-05,0.0015553673,0.0015880312,6.3177276e-06,0.0015868241,0.0012261844,9.801963e-06,6.92486e-06,0.00028983137,0.0002601249,1.3410161e-06,1.08623226e-07,0.0025673353,1.5339909e-05,0.00012501213,0.02341311,0.001098472,9.963718e-06,0.001221028,0.00072127354,0.0003450405,0.00043005834,0.7046306,3.0778313e-06,0.0011913765,0.001610862,1.4576262e-05,6.1831124e-05,0.00016758093,0.0021119416,6.34494e-05,0.0011274968,0.0014333719,2.6203634e-05,0.002729479,0.0045125755,3.134964e-05,1.1454194e-07,3.191605e-07,0.00091214053,0.0028516406,2.3507067e-05,0.0001502891,1.0242086e-05,0.005531998,0.0001703471,5.4035604e-07
