,0
Werk,13.499618712009982
Onderwijs,8.617643893148418
Europese Unie,8.358055095825296
Zorg,7.8909464809561
Woningmarkt,6.259791084398776
Bedrijfsleven & economie,5.750109909900538
Consumenten,4.59308230990122
Duurzame energie,4.0306723542588
Natuur & dieren,3.598752216968982
Asielzoekers & vluchtelingen,3.237848975644438
Politiek & verkiezingen,2.955611462973553
Rechtbank & rechter,2.803287512487834
Landbouw & boeren,2.0685109574420832
Criminaliteit & geweld,1.651227263764864
Defensie,1.6106981737245198
Zwangerschap & abortus ,1.4630274206303675
Banken,1.446445493150736
Verkeer,1.4432198492429513
Klimaatverandering,1.4045652039105163
Reizen & Openbaar vervoer,1.3808334901400279
Politie,1.3774439759407446
Cultuur & musea,1.3276351238971875
Coronavirus,1.142310596597271
Belasting,0.990020062810481
Afval,0.8245239194832832
Sport,0.6955793768030161
Demonstraties,0.6438777671143994
Criminaliteit & drugs,0.6346544594518033
Aanslagen & terrorisme,0.6195628433877729
Seksueel misbruik & seksualiteit,0.5877165584804598
Medicijnen,0.5547190953258948
Oorlog & conflicten,0.5508862795424857
Vliegen,0.5382120698306294
Natuurramp & extreem weer,0.5085741164665827
Prostitutie & mensenhandel,0.4667389821957832
Gas,0.4548616078003186
Vakbonden,0.43586122054627585
Islam,0.4161717656215534
Mensenrechten,0.402398869953973
China,0.382475727272232
Pensioen,0.3683590679688435
Olie & kolen & grijze energie,0.2919423030234019
Discriminatie,0.23581004000562783
Scheepvaart,0.23026801419762352
Veehouderijen & vlees,0.20871791857110675
Christendom,0.20642270702464346
Branden & brandweer,0.13553157236137536
Diplomatie,0.1197075682115383
Kernenergie,0.10283548597555836
Diefstal,0.0819938082680188
Corruptie & fraude,0.07273465458452173
Festival & feesten,0.06553661603143368
Data & privacy & algoritmes,0.05775864766308663
Ruimtevaart,0.03723948364115009
Homoseksualiteit,0.032958161369135215
Koningshuis,0.03262284294849508
Inlichtingendienst,0.031220935951931077
Stikstof,0.031006083719508977
Vakantie & tourisme,0.02070261625452772
Voetbal,0.01845919322633429
Studielening,0.0
Wiet,0.0
