,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.0015660668,0.38289243,0.0028604877,0.008385351,0.049854834,0.0001456746,0.0019641903,0.011511451,0.00016948597,0.022432078,0.0035376004,0.0002562265,0.0035420468,1.5797e-05,0.0014071557,1.5912465e-05,3.4609807e-06,0.30810797,0.0019807823,0.0024221356,0.014559932,2.5448222e-05,0.0060083764,0.0012226725,0.00043477264,0.024553958,2.0465611e-06,0.00017094471,0.0026539231,2.575705e-06,8.615991e-05,0.03450516,0.0010575117,0.001745746,0.00013801288,0.004939048,0.009430379,0.037600208,0.00043144543,3.7676557e-05,0.00033863753,4.6771325e-05,0.00017290417,0.016482545,0.004126571,0.0002776395,0.003599555,0.01350765,0.0015418087,0.001725939,2.100677e-06,8.206587e-06,1.4643259e-05,0.00019595432,0.0034653514,4.0426938e-05,3.1260722e-06,0.0061867386,0.00028620556,0.00026654644,9.991874e-06,0.0050234846
20,5.4445018e-06,0.2723829,7.50296e-05,5.7250312e-05,2.6394351e-05,0.007578414,0.022065388,0.00011001904,1.4503104e-05,0.00020238491,0.0070360475,8.845023e-05,0.00095781294,3.6364172e-06,0.00644927,8.855975e-05,0.00017298505,0.11221098,6.959014e-05,0.00053444336,0.0011154576,4.5238144e-06,0.0007692807,0.0003731935,9.359412e-06,0.00011764867,0.00037068594,0.37395635,3.4501976e-05,1.4505482e-06,0.0005711646,5.8361413e-05,5.500441e-05,7.1229144e-05,9.625401e-05,0.00037085114,0.008385108,0.15502003,3.1257096e-05,0.0003834782,0.0025086196,1.9045915e-06,4.3344342e-05,0.0011417108,0.0001728015,2.2477311e-06,0.0019713533,0.00015070902,0.009628089,0.00014719806,0.0001872673,0.00025052472,4.1713047e-06,8.350126e-08,0.0061054747,0.001762149,5.037002e-05,0.0033425996,5.3048757e-06,0.000576519,8.919234e-06,1.3941185e-05
40,0.00020747997,0.0101570655,0.00033775478,0.0033633832,0.005235919,0.066327095,0.015566568,0.00022375662,0.00038433977,0.002917579,0.023138897,0.00013740688,0.002806561,3.7940816e-05,0.0013102001,0.00018190149,6.937998e-05,0.048543967,0.0002567476,4.8936596e-05,0.0024885323,4.394537e-05,0.006508154,0.0033295297,2.2594217e-07,6.870668e-05,0.00011228986,0.20021562,0.00043414146,6.4794017e-06,0.004520825,0.00021546631,6.676065e-05,0.0002060173,9.640014e-05,2.8988403e-05,0.0012342243,0.009577745,0.00012869146,0.0031509963,0.001044244,4.962508e-06,9.115077e-05,0.019429673,0.0005323075,8.287207e-06,0.001253844,0.00067388517,0.13328253,0.0008802737,6.932671e-05,0.00015339242,4.6422197e-06,1.4749096e-06,0.2782981,0.0021424931,1.7739877e-06,0.14651503,2.6091366e-05,0.0011560754,0.00011269122,0.000631179
60,4.9705468e-05,0.17057216,0.0005564102,0.0012596394,0.005442254,0.002385972,0.008680403,2.4876845e-05,0.00075465685,0.0038221658,0.011398209,0.00023629803,0.00054062635,3.6831694e-05,0.0072781765,8.6542845e-05,0.00021287902,0.32359463,0.00043250402,0.0007792312,0.00015779266,4.4383214e-05,0.0020546,0.14304549,9.923563e-06,8.5405256e-05,0.0007738923,0.08726551,0.00076129194,2.0732898e-05,0.00088322716,0.00030568804,0.0001426267,0.00013242305,3.7183006e-05,1.7618107e-05,0.002034852,0.09722502,0.00018521964,0.0018665452,0.0013433534,1.072326e-05,0.00043694917,0.00051281083,0.0060848165,2.7666888e-06,0.011585331,0.0016136939,0.012343966,0.0014681612,0.0008660953,0.00010782636,1.010025e-06,1.4604642e-06,0.028173862,0.00042211104,4.2514763e-05,0.057428364,6.9125517e-06,0.002146105,9.2293754e-05,0.000115237985
80,3.0423726e-05,0.030188737,0.00095643685,3.161188e-05,8.1849896e-05,0.000255796,0.00083585625,4.062158e-05,0.0032906777,0.00017876632,0.0047755023,0.00034634085,0.00010267821,7.473005e-05,0.0017293164,5.3007443e-06,5.124736e-06,0.39137983,0.019728586,0.0033266665,2.0272186e-05,7.6281496e-05,0.01108855,0.49501216,0.0003938324,0.00042229245,0.00014013237,0.00056010083,0.0012271343,4.146813e-06,6.3132643e-06,0.0003126811,0.000113276445,5.918502e-05,7.1718587e-06,3.1343978e-05,0.00056645507,0.0009870889,7.238391e-05,3.9324637e-05,2.5069634e-05,0.00031457772,5.598945e-05,0.00041528844,0.005034676,7.3903743e-06,0.0073183207,0.0037952396,0.010541579,0.0011282974,0.00042519715,2.9520104e-05,6.473923e-05,1.0409458e-05,0.000881846,1.8580286e-05,0.00074313686,0.0002938276,1.5020587e-05,8.2440085e-05,0.0002923069,1.6211924e-06
100,3.0836163e-05,0.05056011,0.00023260372,0.00028723685,4.4983233e-05,0.00049819465,0.0019122189,0.000109550725,0.110299766,0.0203684,0.002298202,6.6902925e-05,4.472996e-05,2.2471238e-05,0.0042734398,0.0011363231,0.0040145237,0.26392928,0.17616768,0.0117882695,1.6316402e-05,0.023322646,0.00013032013,0.21975835,0.001958361,0.0010242141,0.00065290014,0.003106358,0.0063387514,0.00014851347,3.5423537e-07,0.0018025413,7.3993615e-05,0.004050483,2.8945595e-05,0.0018367158,0.0014609525,0.015376708,5.243479e-05,1.8126717e-05,2.0544068e-05,0.005372046,0.0028131283,3.5810128e-05,0.011743196,0.00012151869,0.013021411,0.030155802,4.0945408e-05,0.0026099535,0.00022348006,6.5042823e-06,5.918284e-06,2.8054921e-05,0.00021706233,3.2217006e-06,1.063499e-05,0.0006982064,6.145309e-05,1.2607894e-05,0.0035539302,8.367903e-07
120,0.0007373692,0.015803063,0.0005338559,3.1734173e-05,1.0093262e-05,7.5349555e-05,0.00063411874,0.005196152,0.11963111,0.07468923,4.0405695e-05,5.3716358e-05,9.493961e-05,2.8664146e-05,0.0001629849,0.004415447,0.012462149,0.10253979,0.12919852,0.00018239851,0.00062617863,0.0066058016,0.0004797224,9.323381e-06,0.0008247337,0.005751474,1.8432507e-06,0.00022863656,0.0039340286,1.1904015e-05,2.1147307e-06,0.00039843394,1.907961e-05,0.0026056676,6.52497e-05,0.029533122,0.00039025815,0.011988945,0.00074863085,7.3889923e-06,2.8342602e-05,0.008014611,0.3907346,3.3568533e-05,0.002081742,0.0057920264,0.008958501,0.01310167,0.00023648953,0.002775385,6.516551e-06,1.94638e-06,0.00025414862,0.00089139165,5.6494932e-06,9.675396e-06,6.338067e-07,0.004766747,0.024369497,2.7986443e-06,0.006877682,0.00030271613
140,4.4575285e-05,0.005260112,0.00014225795,5.6424974e-06,9.923671e-05,0.00015474937,0.00048702062,0.00015386567,0.010232788,0.07501461,5.7502588e-05,1.8682173e-05,0.00011843512,3.4364544e-05,5.3694373e-05,0.0010703369,0.0065053515,0.36958614,0.006766055,0.0008167282,0.0003857022,0.0009083388,0.00018656651,0.00013024316,5.9893075e-05,0.00010637503,1.3189848e-05,0.00031398179,0.0001136436,1.0777253e-05,2.3855046e-06,0.013264918,0.00012518257,0.013612583,0.00042843382,0.010743938,1.0875892e-05,0.1316879,0.0008026632,1.6357131e-06,0.00086999225,0.000109347915,0.060571983,2.4875976e-06,0.028457647,0.0015911753,0.23468205,0.0078114145,0.00013917817,0.0036622013,5.3851073e-07,1.3478486e-06,3.5474002e-06,2.0237363e-05,2.2205627e-06,4.7003053e-07,3.712329e-06,0.0012716954,0.00047929832,8.872468e-07,3.5254816e-05,0.010751933
160,2.661426e-06,0.0012547831,0.00013572654,7.5361265e-07,8.6416e-06,3.9363505e-05,0.00017486198,4.3707056e-05,0.003952572,0.02084958,2.5978532e-05,6.4337723e-06,1.6244134e-05,2.9726254e-05,3.4955517e-06,1.7440587e-05,5.12693e-05,0.80924016,0.003799803,0.00024431496,7.0516886e-05,1.3866533e-05,5.9433814e-06,2.7023036e-05,0.0003248365,6.700142e-05,5.3892127e-06,0.0005538913,0.00038287515,7.3501404e-05,9.722222e-07,0.0028607405,0.002141768,0.0023919763,0.0005653763,0.021848004,0.00013035149,0.021637201,0.0010397797,1.8673227e-05,0.0017952209,2.0120275e-05,0.004614085,1.1776467e-06,0.015932973,5.0160048e-05,0.060008407,0.019404462,0.0008889535,0.0003329107,6.205895e-07,2.3540928e-05,1.7721472e-05,7.097951e-07,6.574504e-06,1.8377966e-07,3.817468e-06,0.00032600565,7.436883e-06,2.5281904e-06,2.432435e-07,0.0025049874
180,0.0003345863,0.0030066548,5.0869818e-05,6.3318237e-07,1.3953521e-05,2.3899966e-05,0.00033461343,0.001632578,0.009791404,0.0047193365,0.000102201,4.96252e-05,8.817263e-05,4.9333867e-05,8.8723245e-05,0.00042111514,1.8352144e-05,0.17825523,0.025927085,0.0010387741,0.002350102,1.4776952e-05,0.0014986974,2.127529e-06,0.00020107736,0.00064254564,2.7429342e-06,0.00016040208,0.00136842,1.7690124e-06,8.2118294e-07,0.0018446142,0.0036449265,0.0014502545,0.001168207,0.023243688,0.0012450858,0.03505058,0.021127958,2.5320336e-05,0.012674778,0.00024282176,0.005608722,4.4093573e-05,0.019018741,0.00017689212,0.5469781,0.07174891,0.0167964,0.00087701523,1.705706e-06,3.8973252e-05,0.0005694608,0.0002169226,0.0001094601,1.9454972e-06,8.518961e-05,0.0019965414,0.00024756114,4.071257e-05,7.1544395e-07,0.0015330329
