,0
Europese Unie,13.841364655591804
Onderwijs,12.029119963530716
Werk,11.907171847419315
Zorg,6.705838499365596
Bedrijfsleven & economie,6.059263793668257
Duurzame energie,4.438452387605064
Politiek & verkiezingen,3.9539363523381206
Woningmarkt,3.5827684140861584
Natuur & dieren,3.201319076251756
Klimaatverandering,3.0233508167517744
Rechtbank & rechter,2.8566412801614325
Asielzoekers & vluchtelingen,2.0608324552888995
Consumenten,2.04056978985557
Cultuur & musea,1.8665763465794454
Belasting,1.8659644077788269
Reizen & Openbaar vervoer,1.4808661252420448
Landbouw & boeren,1.444984999494135
Discriminatie,1.1368986874017384
Defensie,1.0864126448665132
Coronavirus,1.0375050945259499
Verkeer,1.0303924744953339
Criminaliteit & geweld,0.9540698395282062
Zwangerschap & abortus ,0.9394044232311274
Vliegen,0.9164469867222934
Medicijnen,0.8318058054684635
Oorlog & conflicten,0.7356497038668973
Vakbonden,0.7186489251955868
Afval,0.6756011319699351
Pensioen,0.6593153923186711
Demonstraties,0.6550773345610081
Sport,0.6101352288540471
Banken,0.5724472082218451
Kernenergie,0.5688373453492704
Politie,0.4971666572659887
Koningshuis,0.4031319524024488
Data & privacy & algoritmes,0.3908598212062361
China,0.3441364431553683
Olie & kolen & grijze energie,0.3235526987790323
Aanslagen & terrorisme,0.30878234395039705
Islam,0.2808026429137644
Natuurramp & extreem weer,0.2572609920013944
Gas,0.25428698084391493
Wiet,0.22010217891412923
Criminaliteit & drugs,0.16790773304324924
Scheepvaart,0.1560197706288524
Mensenrechten,0.13190954828077586
Diplomatie,0.09737501620794745
Prostitutie & mensenhandel,0.08747814475648832
Seksueel misbruik & seksualiteit,0.08413571500533089
Stikstof,0.08040920927281824
Branden & brandweer,0.0691624098295487
Homoseksualiteit,0.06726876535861866
Christendom,0.04966643782408465
Corruptie & fraude,0.04674504463706482
Ruimtevaart,0.04188732756111418
Studielening,0.04186904057215407
Voetbal,0.03416217970093982
Inlichtingendienst,0.03294142869415272
Festival & feesten,0.014950279300435649
Veehouderijen & vlees,0.011269917081284692
Vakantie & tourisme,0.00950465268029752
Diefstal,0.007585230546375156
