,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.0011196928,0.8026029,0.00063802884,0.00010116627,1.44806445e-05,6.087501e-05,0.004235329,0.0013644745,9.753476e-05,0.0037466902,0.005280437,8.861135e-06,0.005543735,0.0003052142,2.049814e-05,1.7566821e-06,0.00042827806,0.00014377458,0.00316595,0.0010809212,0.0046022986,0.0005842053,0.00010335135,1.6909338e-05,6.035084e-06,2.282741e-05,0.00013963212,0.07681443,0.00018152196,1.9576331e-05,0.00029671643,2.8134484e-05,0.00017074222,0.00019446772,0.00014833134,0.00031755076,0.00053019845,0.0004905752,6.947107e-06,0.00011430884,1.5028078e-05,0.00029239507,0.004423188,0.0022844877,0.00022627541,0.0026214574,0.00014884709,0.0011024688,0.034044735,0.00010222063,1.2107232e-05,0.00023483473,0.0027367682,2.4232782e-05,0.011092725,0.017505668,0.00010055517,6.677273e-06,0.0035755984,1.3962246e-05,0.0033314875,0.0013548019
33,0.00023816075,0.62419456,0.0018574841,0.00012522175,3.381038e-06,0.000250294,0.03198748,0.00041928882,1.9375093e-05,0.0027473168,0.011658904,2.7142334e-05,0.0010789748,0.00019807044,0.0004445961,1.4611371e-05,0.0005872549,0.00043068462,0.000853494,0.00014989893,0.0023795527,0.00026927164,2.947774e-05,0.00046599563,2.0763212e-06,3.3431297e-06,0.00016888524,0.099905044,0.00057231437,0.0001338501,0.0006912761,8.5972904e-05,3.0120538e-05,0.0006249761,0.00010742099,0.00018828495,0.0007484889,0.02577807,1.5618754e-05,0.00015552621,0.0002333283,4.2015265e-05,0.0018190292,0.002085232,0.00022071475,0.0042684684,0.0009330638,0.00045674626,0.12944841,5.1547544e-05,4.437743e-06,0.00037221843,0.0019436053,8.970789e-06,0.013615258,0.01514967,0.00021815384,0.0003125254,0.0021887494,4.818846e-05,0.012318671,0.0046192342
66,0.00028845086,0.5508094,0.00018059782,4.4140765e-05,0.00015836851,0.0006762798,0.004229565,0.0009838635,0.0013306828,0.0227314,0.0030284303,1.6070639e-05,8.286884e-05,0.00021919307,0.0008403245,2.2456081e-06,0.0014306417,0.00042391077,0.00085372233,6.387044e-05,0.006941123,3.739084e-05,0.00011385503,0.00015276168,6.0693577e-07,1.1401561e-05,6.419835e-06,0.0070011592,0.0008134056,0.0005762147,7.290363e-06,0.00085215445,5.616238e-05,0.001044084,5.3669457e-05,0.00010957753,0.0001560079,0.20431042,1.0052564e-05,7.13445e-05,0.0002114161,0.0009474569,0.0015643735,0.0042773667,0.00010028473,0.0018443592,0.0029045527,0.0021543514,0.13314906,0.00047434383,4.4244777e-07,0.0008403307,0.00029753265,3.566637e-05,0.016853414,0.001839223,5.543699e-06,0.0013968543,0.0007832968,5.3939613e-05,0.019508148,3.8939455e-05
99,3.2835533e-06,0.8650216,2.0485902e-05,9.307913e-06,0.00023460062,0.00035504086,0.0053772056,0.0001148334,0.00086574024,0.00868117,0.0005710005,8.9158135e-07,4.2383194e-06,7.502075e-06,0.00012975685,5.0714107e-07,0.00023353175,0.00070017914,0.00022516376,6.800106e-05,0.00035258158,4.507867e-06,0.0001950275,3.124892e-05,1.11215e-06,3.1726174e-06,1.4768193e-07,4.8279915e-05,1.8126068e-05,8.0173395e-06,1.2946621e-06,0.0007461139,1.8027542e-05,0.000520364,1.6236531e-06,5.79135e-05,0.00028961018,0.107531674,3.233914e-06,1.958985e-05,5.722564e-06,5.8330934e-05,0.00012507592,0.00047803458,3.042022e-05,0.00029225665,0.0015461552,0.00015448907,0.002784086,9.765858e-05,6.857755e-08,2.317213e-05,1.8201968e-05,1.2870199e-05,0.00024542763,2.3957717e-05,2.6496812e-06,0.0002793935,4.6510242e-05,0.00013078791,0.0011650932,3.941853e-06
132,6.3173036e-05,0.4169343,2.3792374e-05,8.557069e-05,0.015756754,2.0545085e-05,0.005011501,0.0002971578,0.050077416,0.08258441,0.0037337819,2.7606307e-05,7.777529e-06,0.00028814998,0.0015120181,1.8523546e-05,0.01818814,0.00052094355,0.004277601,0.00044257962,0.0022320754,1.0392873e-05,0.0008032994,0.00028834338,1.1851836e-05,6.484937e-05,1.5502218e-06,0.0018731458,2.0616184e-05,1.462564e-05,1.3282999e-05,0.00795345,5.8378006e-05,0.0015553226,5.9838494e-05,0.00075046695,0.0008695727,0.2894716,1.7231134e-05,3.103581e-05,0.00051561854,0.016500661,0.009240067,0.00014950156,0.0038667414,0.00040752484,0.023214383,0.013833531,0.0036225046,0.008027664,1.5878956e-06,2.4566445e-05,4.969346e-06,4.1600942e-05,0.0034708036,0.0010498975,8.44397e-06,0.008074779,0.0012608453,0.00033365347,0.00037190464,6.0887096e-06
165,4.17222e-05,0.007743887,4.175565e-06,2.2271347e-06,0.013392115,7.586671e-07,0.0012643221,7.6165496e-05,0.18669844,0.059593435,0.00073726685,0.00010863986,9.458329e-07,5.8156686e-05,0.0007139844,9.976262e-05,0.00830966,0.0022958627,0.005693722,0.00021674605,0.00038578894,2.1628662e-06,0.002394453,0.0042475895,3.040691e-05,4.7144433e-05,4.366188e-07,0.00023988987,1.2535211e-05,6.461224e-05,1.4553506e-05,0.001613328,0.00017395079,0.00016669596,7.28869e-05,0.0015053884,0.00032228557,0.29133335,3.0765106e-05,1.2538882e-06,0.0014416905,0.10674509,0.00069347385,2.0165366e-05,0.038317386,1.8766146e-05,0.07821783,0.072151646,0.00061860576,0.06181462,6.7635096e-06,6.0856717e-05,6.8893282e-06,1.6256634e-05,0.00015918225,0.0006830656,8.962784e-06,0.045000393,0.0036134303,0.0001815565,0.0005083806,3.505175e-06
198,3.003555e-05,0.0028973238,2.0417854e-06,1.0819641e-05,0.0070223915,6.9933657e-07,0.00030135218,0.000108773165,0.061683618,0.5459235,0.00046131664,2.0966087e-05,8.324568e-07,1.45474405e-05,0.00021975096,2.4153933e-05,0.0045543336,0.00023373074,0.00023590346,0.0001138979,8.981999e-05,4.9762943e-06,0.0035526508,0.00022799907,8.243427e-05,8.9143214e-05,2.3576074e-08,4.6473288e-05,8.995391e-05,7.518512e-06,1.2690484e-06,9.680325e-05,9.188366e-05,3.0747924e-05,1.5983665e-05,0.0007801291,6.452118e-05,0.24949083,8.5782995e-06,8.1034494e-07,0.00077841384,0.05362394,0.001201531,5.6517542e-06,0.000986899,3.046807e-06,0.014219977,0.0076488806,0.00014183369,0.030179191,3.0874367e-06,3.5206394e-06,3.5887257e-07,2.6322312e-05,8.413156e-05,7.1402e-05,4.6313826e-06,0.008041085,0.004128011,4.8063957e-05,0.00016514106,2.3257448e-06
231,3.586985e-05,0.020877032,3.4673703e-06,3.0109226e-05,0.002153896,5.310807e-07,0.001232353,0.0002367465,0.004937581,0.014538497,0.0027171378,0.00010900543,3.1554632e-06,1.917243e-06,0.00015439717,5.793044e-06,0.0020389885,0.010926493,0.0007007441,0.00019033269,0.000121999285,2.2858721e-06,0.016960403,0.009076874,0.00013604961,0.00012298758,1.9164981e-06,0.002434463,0.0010782123,2.1478503e-05,4.951399e-07,3.8737566e-05,0.00015517052,6.075819e-06,0.00021982651,0.00029315925,0.0011056657,0.7220931,1.4318783e-06,5.567913e-06,0.008402361,0.03541558,4.1472693e-05,0.00011633538,0.001538961,1.9135432e-05,0.08210644,0.006511281,8.389343e-05,0.005488939,0.00012717134,0.00022740843,4.42018e-08,4.905692e-06,0.0001398294,8.129471e-06,2.7779453e-05,0.019298106,0.024868239,0.0004872548,0.00031421793,2.632835e-06
264,4.1596384e-05,0.03370868,3.6911588e-05,3.854742e-06,1.867722e-05,7.81374e-05,0.003902504,0.00015646232,0.0006117915,0.0020990071,0.0033888854,6.0454577e-06,6.3904963e-06,2.0597222e-06,4.036724e-05,0.0003090181,0.011741619,0.29542822,0.00529105,0.0017169404,1.5283065e-05,0.00021092591,3.313754e-05,0.3955682,5.1952833e-05,0.000282689,0.00018255493,0.022516474,0.00030178405,0.00082667253,3.417272e-05,2.735373e-05,6.4779364e-05,4.2145435e-05,0.00016743435,5.5716395e-05,0.00015339525,0.14966185,2.513056e-06,0.000106860505,0.00013573542,3.400797e-05,3.156922e-05,5.7641286e-05,0.00022908566,0.015072259,0.03577115,0.017365387,0.0013413865,2.248742e-05,4.802538e-06,8.591127e-05,1.2641025e-06,8.8168406e-08,1.2941447e-05,2.1609205e-06,5.3709657e-05,0.000465298,9.321666e-05,4.6100296e-05,0.0002633951,1.6267171e-05
297,0.0017256371,0.16605651,0.003084616,8.545903e-06,0.00048060794,1.9765937e-06,0.0039014602,0.0004315145,0.0026468588,0.00026077972,0.0008878427,8.199512e-05,5.8657286e-05,8.911301e-06,1.77681e-05,0.000113901435,0.05546902,0.12588727,0.0015793603,0.014120632,6.965973e-05,0.00019058007,0.00019590666,0.04546602,6.294838e-05,0.019057028,2.1113618e-05,0.0030959225,0.005500181,7.002233e-05,1.5151891e-05,1.5327078e-05,0.00035111158,1.0407636e-05,0.008263501,0.00016540001,0.0005718737,0.06905742,1.2374754e-05,2.9360035e-06,9.946449e-05,0.0013394976,0.0019380555,0.0003694534,0.0009912006,0.37164864,0.020641858,0.044397365,0.006547901,0.0027557001,0.00016297071,0.0034050532,2.9398057e-05,0.00020875374,6.4093574e-06,1.7703269e-05,0.0011345906,0.0019555818,0.011015775,7.090271e-06,0.0022968152,1.2021862e-05
