,0
Europese Unie,13.865052289989894
Onderwijs,13.207278913841847
Werk,9.202668070484442
Zorg,8.90154657375186
Bedrijfsleven & economie,6.530770021808355
Politiek & verkiezingen,5.032214272066141
Natuur & dieren,3.9086359152660064
Asielzoekers & vluchtelingen,3.696611104116237
Rechtbank & rechter,3.0844595249050286
Woningmarkt,2.6625569071543267
Klimaatverandering,2.4695594233181404
Pensioen,2.3459705523114764
Verkeer,2.156754790402681
Defensie,2.0223957458324175
Consumenten,2.0002555038684817
Belasting,1.8672826338097452
Cultuur & musea,1.5742455810046783
Criminaliteit & geweld,1.1665726367998028
Politie,1.0597218883015567
Islam,0.9937254246400148
Duurzame energie,0.9493723073879029
China,0.816458318382245
Landbouw & boeren,0.8134937338131393
Coronavirus,0.804678275671843
Olie & kolen & grijze energie,0.7394768953939977
Banken,0.6012684511434317
Aanslagen & terrorisme,0.5952578381187543
Data & privacy & algoritmes,0.5843281155937334
Demonstraties,0.49981958457096165
Mensenrechten,0.49171835780428647
Kernenergie,0.4179239071903
Criminaliteit & drugs,0.3983798572084253
Vliegen,0.38742022711887675
Wiet,0.36365173637323267
Sport,0.35660793438833494
Gas,0.3461545728547954
Ruimtevaart,0.2680109548430849
Medicijnen,0.25967279270378946
Homoseksualiteit,0.2563497703023133
Discriminatie,0.2540161433856838
Zwangerschap & abortus ,0.2493074906883661
Christendom,0.2438085768505101
Prostitutie & mensenhandel,0.24023029642149912
Voetbal,0.15897039660011378
Oorlog & conflicten,0.14656921408132412
Veehouderijen & vlees,0.13678908426407102
Afval,0.13070964680191613
Seksueel misbruik & seksualiteit,0.12124355077340443
Reizen & Openbaar vervoer,0.11417422796998389
Inlichtingendienst,0.11130428615314554
Festival & feesten,0.08199821702337237
Natuurramp & extreem weer,0.06447427042999906
Corruptie & fraude,0.06073679741205809
Branden & brandweer,0.055192280823100834
Diefstal,0.05376678073171113
Scheepvaart,0.040543211836728675
Vakbonden,0.019654019243404573
Studielening,0.018190103973031783
Stikstof,0.0
Vakantie & tourisme,0.0
Koningshuis,0.0
Diplomatie,0.0
