,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,3.1229614e-05,0.030018805,2.1238882e-05,4.4512925e-07,1.254273e-05,7.970004e-06,0.00086044177,1.7139631e-05,3.491092e-05,3.0404426e-05,0.00062467495,0.00030064717,4.2931217e-05,1.176548e-06,1.0119107e-05,3.7937996e-05,0.00067842094,0.19761086,0.02062757,0.00017260827,0.00024650185,6.0069648e-05,6.515939e-05,1.469139e-05,5.9849157e-05,0.0001773804,2.0057221e-05,0.003443275,0.00071140815,0.001990239,1.7676486e-05,0.000109970904,1.9738538e-06,0.0014352722,0.008129583,0.6952192,0.00021712243,0.0019646331,1.5618629e-05,3.0244983e-06,0.0016026931,0.00012108361,0.011159718,1.4130595e-05,0.006018693,4.7462967e-05,0.001019878,0.006440044,0.0002630839,0.00018375351,2.8522143e-07,0.0013582209,0.0005789899,6.0827915e-07,0.00029905734,2.7818523e-05,0.0002999441,0.0026095936,0.0024898383,3.4024455e-05,0.0002363341,0.00014991159
20,0.00043493745,0.009261587,0.00020517978,1.5317575e-07,1.089095e-05,1.6632059e-05,0.0060294606,1.7677066e-05,3.9849332e-05,0.00015587972,0.0006176512,0.0003110978,4.3675496e-05,2.7977678e-06,3.078073e-05,7.762874e-06,0.0011772354,0.87807316,0.01929058,0.00042000462,0.00082102267,1.6515129e-05,0.00023283153,0.00034719805,0.00020845889,0.00057648687,0.00010749767,0.003056395,0.014136541,0.00022350626,1.432867e-05,4.274272e-05,3.005035e-07,0.00020295849,0.0038707356,0.031600025,0.0013097726,0.0027935312,0.00038726517,1.731368e-06,0.00038715388,2.4792173e-05,0.0017357202,0.00016449756,0.005086265,0.00015185185,0.0069982493,0.0009915135,0.00028235937,0.00029422948,1.7763841e-05,0.0008169566,0.00027527506,2.2078975e-06,0.0005872437,1.5056316e-05,0.00011331427,0.0030374185,0.0024616797,0.00019454227,7.325148e-05,0.00019189925
40,0.00031210264,0.034767617,7.4945194e-05,2.6111368e-06,2.620769e-05,1.26325585e-05,0.00027146694,0.0041961097,5.6113484e-05,6.473846e-05,0.00040285155,3.007057e-06,2.6912574e-05,4.615944e-06,9.219504e-06,0.00020058079,0.00032153752,0.6597108,0.0024819528,9.1634965e-06,0.0027587565,7.496934e-06,1.9043939e-05,3.1610082e-06,0.0001860891,0.0006204007,7.735652e-05,0.03832032,0.0051884837,0.00012022552,4.165702e-06,4.2567284e-05,3.393128e-05,3.1319683e-05,0.029315984,0.03127889,0.050110836,0.0058306176,0.0016484058,7.2085763e-06,0.0026975707,0.00019422524,0.006124087,0.001152536,6.197852e-05,0.0013601033,0.010050412,0.0015050318,0.00014021737,0.0016306582,4.6250628e-07,0.0007891184,4.141685e-05,0.00038635082,0.00046902447,6.453929e-06,1.0936463e-05,0.095369935,0.0002616063,0.00016515038,3.5704763e-06,0.009018622
60,7.265499e-05,0.013738679,0.005813999,0.00028742757,1.4564087e-05,0.67743295,0.019955643,0.017708393,0.00090199546,0.0016467028,0.00046451288,2.0875375e-06,0.0012261218,1.627868e-05,8.6911736e-05,0.00022991553,0.0047508487,0.09696946,0.00026759593,2.478068e-06,0.0028425797,0.00029193345,0.000119217206,4.7753678e-05,0.00014369928,0.00025884827,3.86324e-05,0.06571,0.0012247785,1.5225517e-06,0.00012494465,0.00057050574,4.319917e-05,0.00018990556,0.0008558747,0.000108328706,0.0059543336,0.012993176,0.002465375,5.9873713e-05,8.2291135e-06,0.0007514295,0.00023436634,0.047537543,1.0942713e-06,0.0025740115,0.006195947,0.00030665484,0.0011411101,0.0010997411,1.9116009e-05,9.17659e-05,4.9336177e-05,2.5174266e-05,6.561541e-05,8.345039e-05,1.246008e-07,0.0024892956,0.00013004303,1.773044e-05,0.0012884227,0.00025609953
80,2.1257209e-05,0.030970966,0.021507708,3.2782347e-05,7.648527e-05,0.48533306,0.061443426,0.0105852885,0.00070433336,0.0005999137,0.00033584514,7.153982e-06,0.0009673324,8.577255e-06,2.8833258e-05,6.5897107e-06,0.00022059373,0.07079406,3.0367071e-05,8.770892e-06,0.0013510591,6.7560155e-05,0.00018240671,5.7345756e-06,5.0012422e-05,1.6079157e-05,0.00013042001,0.2955035,0.00027536,2.4151248e-06,0.00013503805,0.00032046414,0.00018797845,0.0010834981,0.0019166287,7.904147e-05,0.00050568866,0.0016064158,0.00026729782,0.0008322715,5.4367547e-06,0.00015261926,9.170826e-05,0.002793869,1.0439414e-06,0.002484034,0.0008084063,6.671081e-05,0.00099401,0.00059052184,1.1614802e-06,0.0015381485,3.611256e-05,2.559631e-06,8.592117e-05,2.294568e-05,5.818494e-07,0.0012020468,0.000132152,7.5708274e-05,0.00023405811,0.0004779711
100,4.0976778e-05,0.040035095,0.019198205,2.781441e-06,2.452322e-05,0.41610503,0.36174974,0.00061563024,0.00016089852,0.0017209948,0.0013254372,8.208222e-06,0.0013035616,8.382813e-06,1.7154955e-05,3.681846e-07,0.00033663237,0.008515234,6.7940564e-05,4.5933216e-06,0.00045607652,5.7051777e-05,0.0003856248,1.5489359e-05,4.701928e-06,2.1603141e-06,0.00018691433,0.1345576,3.244969e-05,2.304104e-06,0.00031881136,0.00012613946,1.9787509e-05,0.00081491104,0.0001283541,6.118149e-05,0.00015389793,9.278353e-05,0.0001562147,0.0022849226,1.434782e-06,4.0387273e-05,0.00012135392,0.0008133023,1.7338219e-06,0.0001969692,0.00011226372,2.1198466e-05,0.00032977905,0.0003685292,4.4859053e-06,0.006101879,0.00011797969,1.8751912e-08,0.00017104416,5.0058814e-05,1.7651006e-06,3.1515086e-05,0.000201112,1.8325198e-05,0.00012309113,7.29847e-05
120,5.009435e-06,0.8427359,0.00069520646,0.00015433942,0.0021363923,0.009727988,0.0036577585,0.0044389223,0.0005471264,0.0024376262,0.0017889952,0.0013019122,0.00083944795,1.6741102e-05,0.00023690781,8.251466e-07,0.00017216682,0.019629328,0.00012905174,0.00078033324,0.000106618485,0.00025102793,0.016284885,7.856334e-05,3.4205503e-05,5.4628654e-06,0.00025278606,0.07517576,3.632896e-05,3.791857e-07,0.00016269932,5.5748525e-05,0.0022726837,0.0011003298,0.0005568536,0.0001809051,0.00019120346,0.0028622695,7.957679e-06,0.0033498036,0.000538167,0.00010274252,3.7119233e-05,0.0004685806,4.590894e-05,3.8555285e-05,0.00017583999,3.933376e-05,0.000527132,0.00065703265,1.3542996e-05,0.0017038335,1.880161e-06,2.0783223e-06,0.00069431245,0.00011531478,0.00011000503,3.9634866e-05,4.2133837e-05,6.3063876e-06,4.240112e-05,0.00019964857
140,0.00034349746,0.5209131,0.00042920944,0.00014333753,0.00016050978,0.0019609297,0.0023670942,0.09288158,0.0153827295,0.042143885,0.0033361274,0.00027507817,0.00019002694,0.00020022845,0.0027206526,6.0410555e-05,0.0023377337,0.1369456,0.00078253186,0.0047692177,0.00058959395,0.08141097,0.011514256,0.00015229803,0.0008311387,7.081629e-05,0.0002599624,0.015821725,0.0012127312,2.9697125e-07,0.00022529143,0.00019600925,1.01835785e-05,0.0011636815,5.106128e-05,7.451485e-05,0.0005228916,0.0062546753,0.00077549776,0.00014582413,0.00019395404,0.0029532847,0.0046059587,0.00020775688,0.0005734509,0.00067920587,0.00039695212,0.00014656216,0.012543556,0.022163952,2.3529032e-05,0.00019383567,5.8624217e-05,0.002409684,6.462174e-05,1.5498876e-05,7.295289e-05,3.5416917e-05,0.0009846146,5.940612e-06,5.2856754e-05,0.0019908245
160,8.321117e-05,0.90848583,3.039167e-05,2.5625943e-05,7.934695e-06,0.0002368897,0.00090003863,0.01183217,3.236372e-05,0.0011137883,0.0010189624,1.1523041e-05,0.00046288458,1.8473347e-05,0.02956642,2.466552e-05,0.0006045569,0.022777457,2.3172775e-05,0.00027490334,0.0010009377,0.002843232,1.0353328e-05,3.1875597e-06,3.6380778e-05,4.381701e-05,2.2199592e-05,0.002799595,0.0006835183,2.7237354e-07,0.0006272834,5.7215126e-05,1.0155701e-07,0.0037525864,4.52071e-05,1.6418224e-05,8.81067e-05,0.0039741895,0.000108172215,0.00010322655,7.994554e-05,1.6723357e-05,0.0018626809,8.261709e-05,2.000958e-05,0.0002044308,0.0019673181,2.500699e-06,0.00030166854,0.00016819107,4.1910815e-05,6.356996e-05,1.0578463e-05,0.0005459329,2.5196665e-05,1.5720689e-05,3.2137334e-07,0.0003419972,6.569388e-05,3.332053e-05,0.00018678093,0.00021561663
180,0.0005928245,0.6314566,0.00096822786,0.0011531723,0.0001754235,0.004387715,0.02237679,0.008525848,0.011124361,0.0008702515,0.018619241,7.044713e-05,0.0006911229,2.7946337e-05,0.030891415,0.0011207764,0.0016385791,0.014346457,0.0014402228,0.00090301904,0.018385563,0.018863821,6.6975525e-05,4.5424793e-05,2.8636063e-05,0.00035224506,8.018566e-06,0.003193834,0.033583295,3.2534663e-06,0.00054276106,0.0002132965,2.8810055e-07,0.0064734337,0.0005898529,0.0006061858,8.5699285e-05,0.004585625,0.010878287,3.3995337e-05,0.0003873699,2.7711701e-05,0.025287548,0.0011137102,0.0009979402,0.006979109,0.016748693,0.00013019067,0.0041364627,0.00080251973,7.923961e-05,0.00010650704,0.0017131804,0.0033736324,0.0058482345,2.051203e-05,2.9287274e-05,0.042101957,0.00037519308,0.003143191,0.03472477,0.0019522285
