,0
Werk,14.430829187952291
Europese Unie,9.533258676295123
Onderwijs,8.573617409547214
Bedrijfsleven & economie,6.115158965419603
Woningmarkt,6.089583649601763
Politiek & verkiezingen,5.842421918259868
Duurzame energie,4.522945499393206
Zorg,4.464745811144031
Natuur & dieren,4.306344351376366
Klimaatverandering,4.122913437510036
Discriminatie,3.502187440489505
Cultuur & musea,2.6325432212921296
Criminaliteit & geweld,2.540853841722526
Asielzoekers & vluchtelingen,2.363005324258119
Consumenten,2.025628591163509
Belasting,1.81632467797811
Landbouw & boeren,1.5474780824118917
Rechtbank & rechter,1.4614861411881417
Reizen & Openbaar vervoer,1.0134902517104933
Coronavirus,0.9819604975870345
Oorlog & conflicten,0.8283246325863549
Politie,0.7980768659823331
Verkeer,0.7153032128783043
Gas,0.7151190615529526
Demonstraties,0.6932432380918256
Defensie,0.6772483015173419
Vliegen,0.6696098399408192
Olie & kolen & grijze energie,0.6691564452815489
Vakbonden,0.6616715171054519
Pensioen,0.5822811557768833
Zwangerschap & abortus ,0.5400703966617997
Medicijnen,0.5360381641906278
Criminaliteit & drugs,0.5333775319924204
Prostitutie & mensenhandel,0.507727268676026
Afval,0.45031197675309353
Banken,0.4079134556337005
China,0.2637606076996473
Sport,0.23080421691750566
Natuurramp & extreem weer,0.23077923708498374
Kernenergie,0.2060798057415652
Aanslagen & terrorisme,0.19388920276471863
Seksueel misbruik & seksualiteit,0.18062041811676097
Homoseksualiteit,0.16509132611286245
Stikstof,0.1281274501051759
Mensenrechten,0.12694054057309
Data & privacy & algoritmes,0.10940360963602443
Veehouderijen & vlees,0.09462444290590447
Corruptie & fraude,0.03771017199555569
Voetbal,0.032488498516532814
Branden & brandweer,0.03109154255062412
Scheepvaart,0.02809235314667882
Diplomatie,0.025326267910978043
Ruimtevaart,0.022754068971636145
Islam,0.02016619832730981
Diefstal,0.0
Studielening,0.0
Vakantie & tourisme,0.0
Koningshuis,0.0
Festival & feesten,0.0
Inlichtingendienst,0.0
Christendom,0.0
Wiet,0.0
