,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.046167053,0.0015454594,0.0008800397,2.4956132e-06,1.5994829e-05,0.00011107877,0.0041894075,0.005274764,0.0054917107,0.0014027392,0.012167052,8.011276e-06,0.0005615353,2.1341797e-05,4.1739804e-06,0.0035459758,0.0019363668,0.0008445128,0.0011336046,2.7427752e-05,0.025399758,0.00075014133,0.00016660863,2.2973024e-06,6.355741e-05,0.0028691853,1.8685728e-06,0.12598237,0.4975359,3.9539114e-05,0.001610681,2.0497475e-06,9.871362e-09,0.004431431,0.010729101,0.018333895,0.007954083,0.0007221181,0.0007374365,0.0007973206,0.0061858613,0.0001283776,0.067898504,0.000842838,3.73333e-05,0.007832569,0.017135767,0.016714752,0.007646078,2.1575037e-05,0.0002926177,0.011254194,1.9373834e-05,1.5333551e-05,0.052082248,0.013244144,2.9265777e-05,0.0015159767,0.009856892,3.7317643e-06,0.0031792792,0.00060311623
33,0.05737484,0.0032157418,0.00054601696,1.6318744e-06,1.6479431e-05,0.0008216005,0.0062201764,0.002265974,0.01540506,0.0040796744,0.008797065,8.4378335e-06,0.0005811079,3.4614586e-05,7.5602034e-06,0.013949194,0.0048155948,0.0025303348,0.009598049,4.4759876e-05,0.02079305,0.0012484716,0.00021197782,9.03684e-06,9.377607e-05,0.0017383316,1.6493706e-05,0.30864275,0.20506744,0.00037195787,0.00068046857,1.4349522e-05,1.9349274e-08,0.011588093,0.011561325,0.022341143,0.010517477,0.005089985,0.0026131745,0.0029367227,0.02067801,0.00034313777,0.072287954,0.00048120777,8.228545e-05,0.005139257,0.042946007,0.028815342,0.01367558,3.8659284e-05,0.00017954202,0.01837304,1.0162175e-05,1.6555892e-05,0.04032176,0.008689087,2.4690473e-05,0.0005697508,0.0072587356,2.8103107e-06,0.0036781945,0.00053826434
66,0.0020628525,0.011923433,0.0003691923,2.8121876e-06,5.644103e-06,0.01594473,0.008380235,0.00016055987,0.04200923,0.0009393143,0.00065516966,1.7076107e-06,1.1815844e-05,1.5956913e-06,1.490756e-05,0.0003022474,9.684198e-05,0.07303613,0.6099851,0.00078960025,0.00051086623,3.5968213e-05,0.0003464233,0.004019478,0.0007030247,0.00055942015,0.00029196352,0.04015729,0.0023075521,0.0067889704,4.4224806e-05,7.559512e-05,4.8239247e-07,0.0009652447,0.0008894235,0.008786109,0.0051288996,0.0046826955,0.00048677425,8.7469576e-05,0.0011093786,0.0006180925,0.00011630031,0.00028445362,0.0013479356,0.00015124172,0.07758049,0.03697411,0.03024348,0.00013282955,1.8901736e-06,0.0011567295,0.00014701334,1.7207468e-07,0.0058717825,5.3594667e-05,5.320029e-06,3.7546575e-05,5.2257437e-05,4.8901384e-06,0.0005431921,6.3250573e-06
99,0.0010020715,0.00092950085,0.08189903,0.0007021155,0.00058957277,0.10087481,0.15189815,0.00077410653,0.00017333223,5.7782854e-05,0.0025807922,0.00017334489,0.0049268915,0.0018591547,5.4374534e-05,1.3444977e-05,1.7380491e-05,0.00975522,0.045044534,0.00054468383,0.0009083815,2.0699877e-05,0.00014479975,0.5407084,0.0010047077,0.0001914073,0.0006135855,0.0043378132,5.2640436e-05,0.00014534718,0.004194109,0.00032076042,0.0014966722,9.295171e-06,0.00039190592,0.0003502544,0.0037822842,0.0016884347,1.7977716e-05,0.0005498488,1.5777516e-05,0.00010255957,8.78758e-07,0.008041356,0.00041402222,0.0013107801,0.012258423,0.0010394083,0.0051575247,6.0548595e-05,0.0002711494,0.00011113239,0.00014376863,8.701687e-07,0.0030297402,7.9121666e-05,3.029538e-05,0.00013231863,4.7357e-06,0.0027290687,0.00020234229,6.461695e-05
132,2.971987e-05,0.0015986951,0.04044128,0.00016707736,0.0007056489,0.004371843,0.0862302,0.0021127444,2.929965e-05,0.00019355786,0.072846405,0.013753811,0.0047164722,0.00011100021,0.010394964,0.0007943974,0.0017758845,0.0058938903,0.09795705,0.00017020211,0.008963848,2.9124181e-05,1.9678688e-05,0.105571575,0.0042962143,0.00020964962,0.0003723317,0.006109135,6.5208216e-05,7.429441e-05,0.03360701,0.0001254121,6.374571e-05,5.1099603e-05,0.0008101426,0.000777142,0.0003995603,0.3667259,1.756268e-05,0.0003510515,0.004657655,0.00012645099,2.536411e-05,0.00026967644,0.0648876,3.3836972e-05,0.022068541,0.01138657,0.0070997262,0.00015594129,0.0005709885,0.0003510444,9.208089e-06,2.8642916e-07,0.00093783013,0.0010675067,0.00051656767,0.0010074133,3.1245402e-06,0.011826332,2.6282238e-05,3.823587e-05
165,2.3950597e-05,0.0009368744,0.006643716,0.0006124733,0.000816621,0.0034348236,0.043995626,0.0012112691,2.1281016e-05,0.0011617417,0.096143246,0.0027415897,0.32371092,0.00039899393,0.012153574,0.00011499113,0.0004026395,0.002701297,0.01933226,0.00021500154,0.033950828,4.0809547e-05,2.3894906e-06,0.004290214,0.009190523,0.000300467,6.61212e-06,0.0017050438,0.0001830074,1.8683946e-05,0.014291626,0.00021368409,5.6432764e-06,0.0003853612,5.9515787e-05,1.9847677e-05,0.013021977,0.34143814,0.00011371224,0.0011031223,0.00038307515,9.964053e-06,0.00019954566,0.00054058235,0.013508989,0.00012279302,0.0012247448,0.011850998,0.00077066506,0.0001520804,0.0020885784,7.8983816e-05,2.5444258e-06,8.894187e-06,0.008659292,0.003397948,0.0021583396,0.000329579,6.0255047e-06,0.017080147,1.5706983e-06,0.0003105521
198,3.8283392e-06,0.0047347136,0.00010184173,7.477072e-05,0.0014556381,0.00095457997,0.0050091078,0.0001225764,0.00055067654,0.010394891,0.013464294,0.00011259352,0.006238548,2.2778462e-05,0.07830366,0.0034242556,0.0070117773,0.0018482995,0.0011859263,0.0011988303,0.0017311022,0.0012244247,3.2571154e-06,0.0023986697,0.05436261,0.00358671,3.2547197e-07,0.0003649676,0.0019954403,0.00026786514,0.0047451747,0.0005042704,1.6904178e-07,0.0035381913,9.6498195e-05,0.0002538985,0.00044082917,0.67088544,0.00016752751,5.351684e-05,0.00048821728,6.1443866e-06,0.0015924496,1.184906e-05,0.029824922,8.7370994e-05,0.014330527,0.06738929,9.296627e-05,0.0011868812,3.3526936e-05,1.756004e-05,1.4538422e-06,1.4465976e-05,0.00042163226,8.710167e-05,0.0002975268,0.00090106396,2.66621e-06,0.00016428772,2.3968823e-06,0.00021125803
231,0.00067878136,0.02262148,0.0008805602,0.0016024371,0.001364248,0.00034134218,0.021414697,0.00053694996,5.0602666e-05,0.00877512,0.14279035,0.00011602109,0.070946634,3.190767e-05,0.0072733215,0.00415843,0.038435083,0.0036556914,0.0016449513,0.020694183,0.0025645683,0.008018438,0.00011132577,0.0073664696,0.11099539,0.011701473,7.1594595e-06,0.010331287,0.005268174,5.112533e-05,0.046950705,0.00043372606,6.5448876e-07,0.0024125553,0.01614581,0.000547768,0.009998495,0.26090103,0.003228312,0.0013033111,0.0017187062,4.3025124e-05,0.041998874,0.00020306012,0.002361045,0.0027553116,0.0034855688,0.057607695,0.00053538656,0.0003540278,0.0013313558,0.007762518,3.1672018e-05,0.000170235,0.0123467455,0.004477012,0.011231999,0.0010609453,0.0013034843,9.546693e-05,1.8149234e-05,0.002757029
264,1.2065697e-06,0.13560092,0.00043878547,0.00059400965,0.00095981045,0.00010147546,0.0096080005,0.00011064314,3.4922905e-06,0.0026009372,0.009429438,0.00018117533,0.0010603648,2.3323184e-05,0.1752923,0.00032311975,0.0054549607,0.0006543568,0.0007717585,0.0010757205,0.00065401994,0.0004714588,1.8749724e-05,0.00065746164,0.00408489,0.00017728198,4.7202116e-07,3.2258773e-05,0.0003043304,1.284244e-05,0.00029286946,0.0025685222,1.979563e-06,0.00184921,0.002638295,9.691785e-05,0.0002842096,0.61627203,5.4322827e-06,0.0002373517,0.0013722673,5.5686134e-05,0.0004696062,3.514204e-06,0.0009739258,0.00020076254,0.016009778,0.00066138344,8.753435e-06,0.00040518856,1.4979333e-05,6.1712846e-05,2.64616e-07,8.703224e-05,1.0675774e-05,6.883785e-06,0.0031176754,0.0010660621,3.7300186e-05,0.00036899393,1.2905578e-05,0.00010824751
297,8.116089e-07,0.8598037,0.00020751271,0.00074882346,3.95721e-05,8.412023e-06,0.0030061812,0.0016427631,4.109789e-07,9.5779775e-05,0.09372697,0.0001958755,0.0005051732,2.4871829e-06,0.0014884992,2.9710092e-05,9.0433496e-05,0.004282321,0.00022240459,0.00017263647,0.00011536712,4.551958e-05,2.6923947e-06,2.2482289e-05,0.0006187433,4.739133e-06,6.7245224e-07,0.00028716156,0.000103304046,1.1355648e-07,0.00042154503,1.3474317e-05,2.116297e-05,3.273068e-05,0.0020265412,0.00036807085,0.000156913,0.010242341,1.1259013e-07,0.001637199,0.007189278,1.3921852e-05,0.00010401132,1.2803847e-06,0.00046995794,2.5094025e-05,0.007185845,0.00048352545,7.3753254e-05,1.392509e-05,6.274436e-06,0.00012264487,9.34742e-08,5.038732e-06,0.00024556046,1.8487695e-05,0.00011575456,0.00034948427,4.3996974e-06,0.0011468165,1.744201e-05,1.6137947e-05
330,1.3337842e-05,0.60343856,0.007156581,0.00022051734,5.9784696e-05,1.2307069e-05,0.011450604,0.004394841,2.0405134e-06,2.4452465e-05,0.27523002,0.00010674413,0.0016547339,2.7216927e-06,0.0009912539,2.855025e-05,0.00015623074,0.02435789,0.0006631737,0.00049097417,0.00029271483,5.6256895e-06,7.623352e-06,2.2789314e-05,0.0054138247,2.87864e-05,4.8465705e-07,0.0002217721,0.00015444771,1.7731137e-08,0.0012268423,1.040919e-05,5.5236887e-05,2.0968593e-05,0.014683154,0.0061934562,0.0008140857,0.0033610824,4.5204717e-07,0.0005759544,0.008870944,7.516908e-05,9.0316826e-05,5.9523e-06,0.0010305435,6.305646e-05,0.012514085,0.0024129504,0.0013998791,2.7668078e-05,0.00029200467,0.00057441083,1.0729753e-07,2.6720572e-06,0.00071934744,7.6912176e-05,6.5994434e-05,0.0018982594,1.6931659e-05,0.0062898328,1.976826e-05,8.098764e-06
363,7.777995e-05,0.13818623,0.21274902,0.00026415725,3.6242942e-05,0.00034387753,0.017947316,0.00202558,4.364976e-05,4.6902164e-06,0.0111327,0.00061136566,0.0062681083,6.9060494e-05,0.0010271689,7.5754497e-06,2.9138017e-05,0.29675573,0.0037363325,2.091375e-05,0.00054271583,1.36178105e-05,2.0564378e-06,0.0001565002,0.0028205637,0.00023643253,1.0567454e-06,0.0017530503,0.0014225129,6.0788016e-06,0.0036933017,8.1055325e-05,0.00063762174,0.00020453839,0.037844054,0.033443842,0.002043782,0.00035567928,1.4781775e-06,0.0012316069,0.0026234582,1.4759463e-05,2.5067933e-05,0.00020753274,0.00046635413,0.0011280245,0.11741147,0.049844664,0.0067357346,1.1017507e-05,0.00026913814,0.00035163228,4.0137264e-05,1.1727991e-06,0.012591632,8.228873e-05,0.00025663845,0.02807586,1.4075622e-05,0.0018502664,9.060356e-05,8.0234066e-05
396,7.734804e-05,0.006094246,0.008281689,0.0015780069,0.00016492688,0.00015292106,0.08770201,0.0016284412,2.0446796e-05,1.918717e-05,0.039751057,0.0005817752,0.037811637,2.1750497e-05,0.00013058104,1.9348097e-05,6.2975196e-05,0.24064761,0.00020853255,5.458774e-05,0.0003360499,2.0720436e-05,1.858983e-06,0.0003006447,0.006112678,0.00016039716,3.3263948e-06,0.020580895,0.0018821066,1.5401512e-05,0.0040941616,9.993622e-06,0.0034016902,5.6662957e-05,0.0045716637,0.0014210509,0.02121176,0.0007278105,1.7304737e-05,0.014060063,0.0055804853,1.1016794e-05,2.3423405e-05,0.0008285667,6.425195e-05,0.00082997396,0.032219075,0.05000362,0.0012091255,8.77294e-05,0.013781025,0.00024267401,1.25436545e-05,5.0532008e-06,0.25021496,9.665887e-05,0.00092190516,0.11055332,8.565927e-06,0.028711481,3.75004e-05,0.0005616957
429,0.00011003634,0.0013703207,0.0027429983,0.0019392308,7.286322e-05,0.00039831325,0.015985902,0.0008008648,2.0877758e-05,4.435299e-06,0.008146609,0.0005227349,0.0138576515,7.2307353e-06,2.1657746e-05,4.7531255e-05,2.9034833e-05,0.19754635,0.00015610625,0.00016011692,6.930595e-05,7.5330177e-06,3.814367e-05,0.0009203079,0.009737495,1.2246848e-05,0.00010317907,0.02254682,3.958311e-05,1.8521298e-05,0.006361782,9.8126664e-05,0.0028714766,8.1259765e-05,0.004306369,0.0013177079,0.043105375,0.00044879902,0.00038738092,0.025562825,0.0022190788,1.841227e-06,1.6004973e-05,0.0030307653,7.0547445e-05,0.00022944252,0.0025375665,0.0053059324,0.00038885023,1.7412141e-05,0.0013030582,0.00018372745,0.00025576315,1.4565301e-05,0.60363054,0.00018487513,0.0022695172,0.0031128195,4.9181235e-06,0.0121584935,4.1835676e-05,0.0010473848
462,0.00010476654,0.003454684,0.0023870687,0.005098675,1.160544e-05,0.00016947114,0.014142033,0.0077385893,9.906949e-06,4.9076643e-05,0.0069348887,3.0062183e-05,0.010940871,2.0555913e-06,1.1869551e-05,1.7757431e-05,4.7950587e-05,0.7528797,0.00067208294,0.00064274314,0.00062850275,1.1607034e-05,4.618985e-05,0.00041242814,0.021823723,0.000110234374,7.349696e-05,0.012014673,0.00012865296,3.103501e-05,0.00032970362,1.6820817e-05,0.0011795973,2.8181734e-05,0.00608611,0.00067328726,0.041895695,0.0017073948,5.6474964e-05,0.0023801003,0.001855908,9.627438e-07,3.6423462e-05,0.00047613407,3.8998704e-05,0.0014232692,0.0007021568,0.0041851536,0.00021308809,3.6556519e-06,0.00020034672,4.8751685e-05,2.6118254e-05,4.3363434e-05,0.071292296,1.2108626e-05,0.0070524053,0.00077955745,3.3471224e-05,0.011426425,1.4499822e-05,0.0051551647
495,0.00016706983,0.078239374,0.017952181,0.00013012328,3.508424e-05,0.00081655855,0.0060992865,0.017192855,0.00017179346,0.00015565685,0.0054906853,2.4007115e-05,0.0055650924,1.6507347e-05,0.00013773656,2.7237136e-06,3.9546157e-06,0.3353128,0.00018467005,0.0015597207,0.0030315921,1.8721533e-06,2.7650365e-05,9.9544835e-05,0.012094519,0.008000125,0.00016619747,0.0067519816,0.00039836465,0.00017947382,0.0037891376,0.00013785949,0.0012222355,0.0024550296,0.011309264,0.38803765,0.073378764,0.00078682945,7.1708426e-05,0.00011047344,0.00021165551,6.295481e-06,1.4041687e-05,0.0008959255,0.00055503676,0.0011240507,0.0009292334,0.000830332,0.00031994432,0.00059119234,0.00010448509,0.0018473361,3.5944402e-05,0.003173504,0.0020341573,0.0023520417,1.0278889e-05,0.0002778775,3.936575e-05,0.0027271907,0.00032924608,0.00028260896
