,0
Werk,10.746709218587288
Onderwijs,7.496770847089215
Zorg,6.643892104369496
Woningmarkt,5.708687377997454
Islam,5.6119967586038255
Politiek & verkiezingen,5.549100961508336
Europese Unie,5.386714923412261
Natuur & dieren,4.5064334982023455
Rechtbank & rechter,3.6428930308411323
Defensie,3.581820689773483
Criminaliteit & geweld,3.5385102940031277
Klimaatverandering,3.394298987158802
Consumenten,3.3269980033211737
Bedrijfsleven & economie,2.6904428493306405
Verkeer,2.642000988151377
Politie,2.5147224823859196
Asielzoekers & vluchtelingen,2.2166058293837536
Cultuur & musea,2.1541765916834676
Demonstraties,2.0334378275261735
Aanslagen & terrorisme,1.8873884742572737
Pensioen,1.75188524174002
China,1.5400683070098837
Landbouw & boeren,1.1671436356856095
Discriminatie,1.1594340267272734
Belasting,0.8815856112354596
Coronavirus,0.8340646547676538
Gas,0.7785390537417155
Corruptie & fraude,0.6767415675285998
Reizen & Openbaar vervoer,0.673722401492094
Vliegen,0.5892347373521313
Criminaliteit & drugs,0.5371410961499855
Oorlog & conflicten,0.4868167750640937
Banken,0.4375771463525331
Olie & kolen & grijze energie,0.33204715040531335
Branden & brandweer,0.3319909795791788
Homoseksualiteit,0.28418597777876314
Medicijnen,0.279436731930682
Sport,0.27077081847253176
Voetbal,0.2143392753262232
Diplomatie,0.21304602149690094
Vakbonden,0.20397640141168075
Zwangerschap & abortus ,0.18361269496965157
Duurzame energie,0.17988014201994773
Diefstal,0.14251190848791873
Koningshuis,0.11352125555374999
Natuurramp & extreem weer,0.10403496578214949
Festival & feesten,0.10070762660355334
Veehouderijen & vlees,0.07172442295837454
Stikstof,0.069960416200098
Kernenergie,0.05555261887864537
Seksueel misbruik & seksualiteit,0.03310561100167918
Wiet,0.02803898870936716
Studielening,0.0
Vakantie & tourisme,0.0
Data & privacy & algoritmes,0.0
Afval,0.0
Prostitutie & mensenhandel,0.0
Scheepvaart,0.0
Christendom,0.0
Inlichtingendienst,0.0
Mensenrechten,0.0
Ruimtevaart,0.0
