,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.0020693974,0.0019770588,0.0012403833,5.0397624e-08,2.562309e-06,0.0001675873,0.00043704506,3.538672e-05,7.074785e-05,0.0014467279,0.00017437352,6.3091196e-05,0.00033875974,2.1300082e-05,3.3043278e-05,4.8782395e-06,8.7866865e-05,8.217903e-05,6.948165e-05,1.640818e-05,0.0006246955,3.883482e-07,0.00034935807,6.296659e-05,1.4177416e-06,0.0011437258,1.358474e-07,0.0009424268,1.9273544e-05,5.5247676e-07,7.233603e-06,0.0036276246,3.3817672e-05,0.00025361317,0.00071830594,9.70978e-05,0.00040317708,0.9562893,0.004555393,2.9012552e-05,3.253395e-05,2.8003411e-05,0.0013349284,3.575201e-05,2.854885e-05,0.009958792,0.009083023,0.00034232056,0.0004520878,0.00044754683,1.16309245e-07,1.7474964e-05,3.001707e-05,3.9545585e-06,7.5866814e-07,5.7019415e-06,3.269955e-05,0.00012120977,0.00049035175,2.285132e-05,4.816489e-06,2.8538981e-05
20,6.37971e-05,0.012883695,0.011135833,2.0374175e-06,2.5738075e-06,0.0041428693,0.00021466592,0.00018066584,0.00044445426,0.005084487,0.00087215943,0.00023583698,0.0012113125,0.00028446474,2.4617175e-05,4.739354e-06,0.0006424051,0.0004935951,0.0007358805,4.8254773e-05,0.00027317673,0.00010739998,2.6296534e-06,0.00087998045,8.100592e-05,0.015230332,1.7191302e-07,0.00016948172,0.0010381097,5.623946e-05,1.8857132e-05,0.0037305418,0.00012635853,0.00042789767,0.0010850703,0.00052002806,0.0042014453,0.84683436,0.0032036128,2.4627912e-05,8.1004124e-05,2.3812025e-05,0.0015657184,5.7632347e-05,5.1366816e-05,0.07519329,0.0032311224,0.0012547853,0.00030349864,0.0007412709,6.595183e-06,2.0315882e-05,0.00016657783,5.8146334e-06,1.3850548e-06,7.370777e-07,3.2088537e-05,0.0001015791,4.2125263e-05,0.00029197847,1.2848019e-05,9.479125e-05
40,1.756637e-05,0.19068536,3.8942362e-05,1.3104348e-05,3.9511538e-06,7.529868e-05,0.00018956033,0.00013524042,0.0030802097,0.007038136,0.0031895163,4.373848e-05,5.3989137e-05,0.00015589548,0.0003238106,7.53567e-05,0.021741278,0.00034630072,0.000105694555,6.186028e-05,0.0005408968,0.00021459926,6.9393405e-05,0.0017982291,6.5061467e-06,0.00017986412,5.2370495e-07,0.0005821945,0.0013571226,1.5671374e-05,8.840081e-06,4.3509517e-05,9.780094e-07,1.45622835e-05,0.00019648326,0.00012739238,8.998745e-05,0.653723,0.008420911,1.6954754e-06,0.001909,0.00015787972,0.0099941855,2.465353e-05,0.0002530357,0.0012018301,0.084891655,0.0024959338,0.00015170492,0.0036048554,5.200293e-06,1.4338952e-05,1.2876735e-05,3.3813954e-05,1.7127957e-05,2.3371679e-06,3.2198026e-05,0.00030356672,2.0978398e-05,5.7373214e-05,2.0755002e-05,2.7430635e-05
60,3.461699e-05,0.2869847,0.00010564267,1.7003093e-06,6.261051e-05,5.125395e-05,0.005619525,0.0019703552,0.0061458163,0.004093442,0.14608756,1.8736948e-05,0.00013376937,5.8877304e-05,0.0028227884,0.0011624604,0.013258667,0.007745914,0.0028142538,0.011898632,0.008697551,0.0002890215,0.00017223942,0.0021536301,0.0017054275,0.06942878,3.797836e-06,0.00044830327,0.006304937,1.7641318e-05,0.00014443579,0.00028841002,3.596585e-07,6.2927546e-05,0.0064343344,0.0140211135,0.01553503,0.0689622,0.012812131,3.5019767e-07,0.0010664455,0.0006438754,0.003158575,0.00038885442,0.0006573513,0.10740833,0.08138634,0.030068576,9.682178e-05,0.048604794,8.994636e-05,0.00076798385,7.63977e-05,0.000639499,3.0277777e-05,0.00016528957,7.5167416e-05,0.019591711,0.0007798531,0.005645807,9.572129e-05,8.336563e-06
80,1.3021304e-05,0.17784661,2.8055252e-05,9.3263805e-07,0.00623288,2.2607044e-05,0.039065965,0.0016202362,0.0046953335,0.0067682997,0.18911272,1.1229905e-05,0.00025443413,1.7162061e-05,0.0016259672,5.161274e-05,0.0007658331,0.0063488516,0.00035791256,0.01121435,0.03836321,4.0031264e-06,0.0019450473,0.0002640762,0.00014393654,3.7834357e-05,6.485563e-08,0.0001857726,0.00094601634,9.253378e-07,0.0006871169,7.2752504e-05,2.4497963e-08,5.296226e-05,0.00014471782,0.0007986074,0.003101327,0.028538378,0.00024788672,3.280736e-05,0.00019093261,0.00040147288,0.0006713329,0.00036173462,0.00060747704,0.0016236948,0.010212743,6.530327e-05,2.5811432e-05,0.13654542,3.3584947e-05,0.0014579918,1.44898e-06,0.0006171096,0.00047007378,0.0014364987,1.6137601e-05,0.069793105,0.00090103125,0.25270304,0.00023624142,6.248131e-06
100,3.973183e-05,0.4308226,1.9136094e-05,8.7627177e-07,0.00038001666,0.00067271723,0.0068853186,0.0006631499,0.018452615,0.018696371,0.012564461,1.4252991e-05,9.5724376e-05,8.643454e-06,0.022224909,5.444409e-05,0.0001786997,0.08719146,0.0006487154,0.0012871,0.00015590925,5.1050294e-05,0.013536082,7.548789e-05,3.9297774e-06,3.4094595e-05,3.5675268e-06,0.0038506777,0.00021275844,5.668486e-07,6.453208e-05,0.00011869448,2.7024593e-05,0.001229197,8.7311964e-05,0.0006635939,0.0003414974,0.04060935,0.0024903174,0.0014581998,0.00014597047,0.0019749172,0.011092902,0.00021286277,0.0006257235,0.0004101589,0.06693843,2.7024758e-05,0.00067422795,0.09870231,1.1286328e-05,0.00044171078,2.802015e-06,0.00054379465,0.00046790054,0.00032948467,0.00019030721,0.1491582,0.0002189046,0.0015099037,0.00017496191,0.00023150336
120,0.00018915614,0.14528498,6.008382e-05,8.227814e-06,0.00015135395,7.559222e-05,0.0040196977,0.00079047726,0.05789529,0.010481038,0.0022289515,4.1338762e-06,4.5317913e-05,4.104503e-05,0.00025427542,2.778033e-05,2.5162637e-05,0.020263784,0.00032933,0.00046535014,0.0004804498,4.839233e-06,0.013606927,0.00014876627,1.8437365e-06,5.9434842e-05,1.4432099e-05,0.006974785,0.00024305524,5.463586e-05,4.6108562e-05,0.0006759772,0.0015131637,0.0001369731,3.0255003e-05,0.00047019022,0.0028260334,0.37289754,0.012689356,0.0029956892,0.00023250522,0.00033082854,0.03777907,0.00056516746,0.0029380012,0.00022936518,0.054523617,0.004191717,0.09789137,0.10689319,4.658119e-06,6.0548868e-05,9.9842015e-05,0.0037158534,0.008053036,0.00021356036,0.00010287838,0.019644195,7.8400066e-05,0.0011376985,0.00064275664,0.002160241
140,7.755083e-05,0.053744346,0.00022754556,1.0505643e-05,0.00012699512,0.00010526769,0.0036298407,0.0009668281,0.046832446,0.0017115987,0.0044122934,2.4903307e-05,4.960066e-05,0.00012992905,0.00096044026,8.469082e-05,1.584919e-05,0.0069605415,0.00016720702,6.2717554e-05,0.0008946409,6.796071e-06,0.014344424,0.00011631451,9.0346566e-07,4.7708734e-05,3.997996e-06,0.002322625,0.00039016537,9.01414e-05,3.961813e-05,0.00067048834,0.0021555764,0.00043914522,4.441844e-05,0.0011696646,0.0023877467,0.5664309,0.0050677806,0.0021752708,0.00050562597,5.003256e-05,0.024820777,0.00088189985,0.0012989161,0.00025872252,0.045429137,0.0039951843,0.142697,0.0061397217,0.00010316609,0.00010817221,0.0027777355,0.00820874,0.0070853913,0.00051579723,8.575889e-05,0.02451047,8.4399275e-05,0.0036687201,0.0074620186,0.0002131865
160,2.025319e-05,0.0018161082,0.00046212526,0.00040875335,0.0036841463,1.8246064e-05,0.002213868,0.0004444644,0.012884619,0.00048406873,0.0018993847,4.4477365e-05,0.00025714736,0.000414752,0.0011469146,5.4921034e-05,2.1051463e-05,0.011592705,3.8521433e-05,0.00026935185,0.0300546,2.0033617e-07,0.00037932253,0.004696906,1.772327e-05,6.116933e-05,9.587187e-07,0.007614993,0.00034999102,0.0018231346,0.00014422387,0.012504653,0.000118105774,0.0006711891,0.0030185853,0.0032309233,0.0013212676,0.6425161,0.00033660262,6.370689e-05,0.0098351715,1.746457e-05,0.0010307542,0.0024159267,0.0047870856,0.00039928703,0.06160303,0.015565566,0.094037145,0.0014653646,0.0003148682,0.00013606067,0.00017145234,0.002281171,0.0016101542,0.0006045388,2.1249941e-06,0.046158474,4.998692e-05,0.0030951672,0.0073138215,5.1046595e-06
180,5.542523e-05,0.0123658,2.4590228e-05,1.4818955e-05,0.00078885915,5.1787424e-06,0.0006940049,0.00016043591,0.016898895,0.00019365379,0.0016073533,1.679238e-05,5.1990855e-06,1.1269942e-05,0.0001926126,0.00035809583,0.0017113396,0.017113563,0.0005169599,0.00090112636,0.0011519949,2.5763053e-05,0.00020210727,0.0058134855,2.507873e-05,6.5632157e-06,3.036298e-06,0.0009210898,0.0015541175,0.000488262,7.2836697e-06,0.008543512,5.6689987e-06,0.007886702,0.15269776,0.008463151,0.00015807166,0.52350837,0.0009348908,3.568532e-06,0.09047302,0.0001538847,0.0013927591,1.5532916e-05,0.02066652,0.00045748655,0.081390314,0.016291434,0.0018187298,0.0018972616,2.1946878e-06,0.0006100148,1.4594496e-05,0.0012154185,0.00031203672,3.3006232e-05,6.823762e-05,0.016082615,4.154127e-05,0.00046617741,0.00030240507,0.0002583472
