,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,3.3320986e-05,0.00013404814,0.00039097582,3.5390312e-07,3.64941e-05,0.00010307993,0.0007281447,1.7172064e-05,0.00010469197,4.4488124e-06,0.006177269,1.2376973e-05,0.00038648056,3.8490558e-05,1.0715821e-06,7.63282e-05,5.512684e-06,0.9297518,0.00043292445,0.00027280513,1.616313e-05,2.440253e-07,8.448459e-07,0.0012085947,0.00041268222,2.705153e-05,3.553898e-05,0.037111364,1.8918332e-05,6.77577e-05,0.0007705742,3.1746004e-05,5.4540487e-05,1.1484869e-05,0.0014883771,0.00070134224,0.0018530118,0.00024425666,0.0001608549,0.0002294699,4.3437612e-05,2.49673e-06,4.6392142e-06,5.8279453e-05,0.00045394167,3.9469815e-05,0.010494528,0.0021012404,0.00038865145,0.00012518569,0.00018312162,0.002556507,1.1154158e-05,2.5342598e-07,7.677408e-06,7.874025e-06,4.5027775e-07,0.00015260254,4.0733983e-07,0.00019197052,2.3308983e-05,1.0513766e-07
33,1.1075462e-05,0.0005086415,7.528154e-05,4.6625232e-07,1.1593289e-05,2.4024464e-05,0.008127635,2.3590068e-05,0.00022114789,3.3744105e-05,0.00043376166,9.629904e-07,6.504482e-05,1.3726383e-06,5.4697836e-07,4.9410384e-05,0.00017104858,0.9205946,0.00038210774,0.0035775302,1.2469417e-05,2.166998e-07,2.2478862e-06,0.0005093487,0.0017730579,2.6184418e-05,7.8193145e-05,0.03643511,3.7575046e-06,8.998504e-06,2.0452497e-05,3.963508e-05,0.00013468429,1.212927e-05,0.0014893506,0.0006900468,0.00031220753,0.0006539744,1.0082694e-05,3.7499794e-05,6.1074454e-05,1.4167985e-05,4.661133e-06,9.057272e-06,0.00033806087,4.4292705e-05,0.017468348,0.0033988373,0.0005065596,0.00072236895,2.6211514e-05,0.00019685406,4.2335832e-06,1.1226061e-07,4.2613874e-06,3.357753e-07,6.8219333e-07,0.00028576117,1.5380195e-06,0.00034531794,3.4508187e-06,6.296754e-07
66,0.014153758,0.011416208,0.00071067456,5.390819e-05,0.004500845,0.0010624112,0.14818484,0.00022720969,0.021282421,0.04135108,0.0006003538,1.157694e-05,0.0005829877,1.5324073e-05,0.0009906475,0.0004504102,0.057564143,0.014666503,5.4238484e-05,0.00096539786,0.00027450177,6.3370794e-06,0.0060997875,0.0029114573,0.0046688532,0.007859412,2.8492976e-05,0.006124814,0.00033172674,0.00011268041,0.000112426904,0.01989149,0.0052155047,0.008911228,0.008450441,0.009280752,0.003673968,0.027940836,0.011726715,0.0047906903,0.00091610756,0.005066417,0.0006937744,0.00896883,3.03768e-05,0.009863119,0.31552693,0.12358104,0.0029330559,0.006491452,0.00020635275,0.0051013045,0.00019812168,0.00034743221,0.00037299062,0.00012366998,8.9281915e-05,0.05663407,0.010376175,0.001310325,0.00015481007,0.0037573064
99,0.16264796,0.01234103,0.008615108,0.0007138148,0.0002465034,0.0009553633,0.10550837,0.0042171725,0.00038246176,0.014807488,9.9431076e-05,0.00014756799,0.009090356,2.284232e-05,0.002784258,0.00010717381,0.00763817,0.011654693,4.680184e-05,0.001817124,0.00095689076,1.9200872e-05,0.0059507256,0.00050265295,0.0039425734,0.019955521,4.9185688e-05,0.003017882,0.00041221696,9.611906e-06,1.3633426e-05,0.005475973,0.020402288,0.0016086588,0.024239236,0.0007202189,0.0007288684,0.021587601,0.017041998,0.0011780359,0.0018610565,0.005944084,0.0021274579,0.0038297325,9.923025e-05,0.03722566,0.40940168,0.0025678172,0.0005830591,0.013572682,5.7167567e-06,0.015773157,8.024714e-05,0.015025802,3.2461165e-05,4.4425187e-06,0.0013313986,0.0024561398,0.009261697,0.0002552174,2.380214e-05,0.0068808054
132,0.1112198,0.0063161403,0.010214691,0.0014132676,0.00036500557,4.385671e-05,0.011302292,0.009930279,0.00035424042,0.004087558,0.00016636333,0.0011109026,0.01579986,8.81757e-06,0.0015064208,1.311078e-05,0.0035488172,0.0014139471,1.2638919e-05,0.00044712663,0.0031755683,5.6294734e-06,0.02774617,0.00019071173,0.0018521739,0.12757799,3.3749263e-06,0.0011889313,0.0019110788,6.251154e-06,8.821288e-06,0.00046037746,0.024505274,0.00032146194,0.038410604,0.0049468195,0.0011760951,0.008420979,0.004643779,9.821689e-05,0.0023540226,0.0021303038,0.0021869333,0.018722706,0.00013761169,0.094765715,0.32452995,0.0022015509,0.0001730556,0.0042506624,1.2588335e-05,0.0028198757,9.964181e-05,0.018633112,2.4669256e-05,5.343067e-06,0.007149235,0.0018273416,0.08652068,0.00027090896,2.3221592e-05,0.0052354084
165,0.0005773453,0.0011003591,9.271422e-05,4.337121e-06,1.934327e-06,1.48610725e-05,0.0011334365,0.0006607701,0.0010395837,0.00077978784,4.6314348e-05,0.00016318497,0.00052754383,5.9151275e-06,1.1719058e-05,0.0020125073,0.0013459155,0.22364148,0.013054687,0.0021156091,0.0006751715,0.000107744076,0.00020567654,0.0024216615,0.0013711276,0.0012674625,0.0014791677,0.04577596,8.51323e-05,0.0025083164,5.1770152e-05,4.323918e-05,0.009346217,0.00018945776,0.05120535,0.031798005,0.00030627777,0.0009307561,0.0002139019,1.67627e-05,0.0037977488,0.00017654065,5.04489e-05,1.2897349e-05,0.01012279,0.00407897,0.5786712,0.0006011627,0.00039994577,0.0015206161,1.7599664e-06,1.3613527e-05,0.00020728803,7.0429346e-06,1.8810923e-07,4.5692173e-07,0.00035243272,2.934454e-05,0.00069831766,0.00012454361,3.883253e-06,0.00079955143
198,0.0010507065,0.0007236421,3.908927e-05,6.343293e-06,8.21037e-06,6.626031e-05,0.00087642367,0.0005260237,0.0033980655,0.006929724,0.00041942336,5.07312e-05,0.00021544009,0.000108809414,6.504973e-06,0.016002173,0.001232219,0.3826784,0.1241209,0.011716831,0.0004059738,0.00027150512,0.00020253823,0.0030143296,0.0038388334,0.00030663787,7.534514e-05,0.0072642933,0.00020904213,0.011200912,7.100943e-05,0.00029302092,0.0026417312,0.00048547445,0.034381982,0.059576154,0.00035981752,0.0044803885,0.0004866476,1.3616776e-05,0.001831209,0.00038853343,0.0002463033,5.709266e-06,0.035459906,0.0009199454,0.26896453,0.0041988897,0.0018798418,0.004748637,3.3194683e-06,2.2957217e-06,0.0003860125,6.2912704e-07,4.9172917e-07,4.4683387e-07,0.00017788446,0.00021034322,0.0006097434,0.00010600449,3.0294861e-05,7.391195e-05
231,0.0003895144,0.0011801707,8.065277e-06,3.266476e-05,5.0891636e-06,2.0285395e-05,0.0009417426,0.00022963008,0.00024239889,0.00016410084,7.4714655e-05,2.0415728e-06,2.9950545e-05,9.186101e-06,2.446522e-05,0.00030993085,0.00090834976,0.17852744,0.014291688,0.017712004,0.00017673483,2.853956e-05,0.00010991664,0.005055583,0.002242964,0.00021464023,0.0006286962,0.020513158,2.0429934e-05,0.00014807949,4.5844886e-06,0.00014348453,0.0003735513,4.930117e-05,0.008162399,0.00049350807,5.4246364e-05,0.00084867456,0.00011711543,6.1298256e-06,0.00054533203,0.00034208514,3.4839977e-05,9.5219375e-06,0.013037311,0.000533466,0.72739714,0.00048592038,0.0010031224,0.0009944034,1.7942008e-06,7.328501e-06,8.4199855e-05,5.4625474e-07,2.3587056e-06,1.9458207e-08,2.4521683e-05,0.0006940838,3.991917e-05,3.2648568e-05,1.8990529e-06,0.00023233391
264,0.00027328703,0.0065848664,7.6131e-06,0.0001346797,2.1066032e-06,1.5068265e-05,5.3308668e-05,3.944282e-05,0.00016834722,5.800433e-05,0.00017754595,1.7465695e-07,5.509585e-07,3.3487315e-06,1.5620919e-05,2.0908068e-05,5.738539e-05,0.123850346,0.00575761,0.05267373,7.268851e-06,4.5695647e-06,0.00017072153,0.006601708,0.0017058413,0.00028869574,5.1858526e-05,0.0039450065,3.487874e-05,3.252846e-06,2.33147e-06,4.3661996e-05,1.4529264e-06,4.374067e-06,0.00082828023,5.1811578e-05,3.832776e-05,0.00056963507,4.9714472e-05,4.0442248e-07,4.3813583e-05,0.00027623074,0.0002125168,2.9973419e-06,0.003629656,6.6276996e-05,0.7905752,0.00029760436,6.708875e-05,0.00023271942,1.8834891e-06,1.7004719e-05,6.3778202e-06,1.6513794e-06,3.2705018e-06,2.6172646e-08,4.0582577e-06,0.00020070083,2.3641964e-05,1.2564368e-07,2.1144255e-05,1.8212357e-05
297,0.00017897098,0.0014033631,7.993867e-06,0.00013949578,2.2247877e-05,3.6384668e-06,7.6202723e-06,4.123038e-05,0.00013256818,4.2845983e-05,0.0011191093,3.584149e-06,5.498682e-06,6.2357763e-06,5.2391035e-05,0.000116749165,0.00027923172,0.12550558,0.0033841494,0.0341651,5.2958676e-05,9.524735e-06,8.38595e-05,0.19855377,0.00027403547,0.0007670798,0.00085963856,0.054367244,4.516115e-05,0.00015313395,5.4515094e-05,3.1147883e-05,1.1639128e-05,3.5568657e-06,0.019716516,7.2523035e-05,8.441285e-05,0.0031259696,0.0012494206,1.8128098e-06,0.0019376097,3.3265125e-05,0.00030338814,3.964294e-06,0.005808579,0.0003174984,0.5417985,0.0024097138,0.00017134612,0.0005045179,5.124149e-06,0.00015074448,1.9430188e-05,1.5981683e-05,8.475707e-06,1.1356766e-06,0.00010737162,0.00020211276,1.3637796e-05,2.3203766e-07,2.867722e-05,2.3139897e-05
