,0
Werk,19.09594927623627
Onderwijs,11.216182655762374
Woningmarkt,6.906496565272775
Europese Unie,6.649942555241973
Bedrijfsleven & economie,5.721827172605729
Zorg,5.007925887178892
Cultuur & musea,3.9457258810534115
Politiek & verkiezingen,3.7953810864826965
Duurzame energie,2.6857735280414956
Rechtbank & rechter,2.558006889630585
Coronavirus,2.457733654162688
Discriminatie,2.3456592762401485
Asielzoekers & vluchtelingen,2.1926283234176127
Criminaliteit & geweld,2.15846394066617
Consumenten,2.117972062309223
Natuur & dieren,1.818737624342799
Politie,1.328600999441783
Banken,1.261361043046586
China,1.2117478452420778
Klimaatverandering,1.0325847110104382
Defensie,0.9493733382543499
Belasting,0.9209363007959893
Criminaliteit & drugs,0.9136979276786023
Sport,0.8270590560844353
Demonstraties,0.7741600251415829
Vliegen,0.7186809541217011
Reizen & Openbaar vervoer,0.6723630987269554
Vakbonden,0.6298768445565912
Oorlog & conflicten,0.5522026227075679
Data & privacy & algoritmes,0.5450145665442245
Zwangerschap & abortus ,0.5260373855108754
Pensioen,0.5132493200877621
Verkeer,0.471485347274611
Afval,0.441249621864367
Aanslagen & terrorisme,0.4339492622177133
Mensenrechten,0.4270821092433064
Koningshuis,0.41671463330072367
Medicijnen,0.40652475366943897
Gas,0.4026559337717102
Landbouw & boeren,0.4019330591995089
Homoseksualiteit,0.3073924337867829
Kernenergie,0.3060252339752138
Voetbal,0.2879781720172888
Studielening,0.18844757005299098
Wiet,0.17147050929058655
Olie & kolen & grijze energie,0.15042525356020844
Festival & feesten,0.14513477427049604
Prostitutie & mensenhandel,0.1299831116219817
Diefstal,0.12911197131007662
Veehouderijen & vlees,0.11781143625295568
Ruimtevaart,0.10926619862938515
Seksueel misbruik & seksualiteit,0.1067556598915849
Corruptie & fraude,0.08788389967473569
Natuurramp & extreem weer,0.0765628788597245
Islam,0.07646150908376444
Branden & brandweer,0.06494183156963608
Vakantie & tourisme,0.028777981200938208
Stikstof,0.027668164028231343
Christendom,0.02365300403730651
Diplomatie,0.011301268748364861
Scheepvaart,0.0
Inlichtingendienst,0.0
