,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,6.38141e-05,0.39516893,0.0003114492,6.455312e-06,9.81728e-05,1.48091285e-05,0.000348784,4.4232696e-05,0.008678334,0.026936553,0.0002847948,2.8810534e-06,1.1601597e-05,7.504122e-05,1.39866515e-05,0.0009814017,0.02312636,0.00034280913,0.00013854074,1.0884773e-05,0.00013146883,0.0057929666,8.546612e-06,3.8539056e-05,4.2018096e-06,6.9278605e-05,1.341681e-06,0.0018624648,8.274038e-05,5.6020112e-06,1.0207492e-05,1.289475e-05,2.9192694e-07,0.00015743265,6.994679e-05,0.00043145256,1.9620407e-05,0.0021089367,0.0029102152,8.100347e-07,0.0006343001,3.577461e-06,0.49297854,2.0576406e-06,3.436402e-05,0.008835846,0.0005846213,0.023408374,7.536108e-05,0.00085243105,3.0046067e-07,1.8060422e-05,2.681161e-05,2.0253756e-06,5.2327978e-05,1.0011622e-05,1.028792e-05,0.0014024088,4.502563e-05,1.139929e-06,4.0012124e-05,0.0006033644
20,3.591743e-05,0.00010577918,2.1819069e-05,5.2000187e-06,1.0274367e-06,1.8004059e-07,9.925726e-05,3.6380276e-05,0.045488764,0.011312314,7.893706e-06,1.1480987e-06,1.000422e-06,4.732777e-06,4.0032285e-07,0.0005737576,0.24181212,0.00012862573,1.6696942e-05,7.9832887e-07,1.5782352e-05,0.00430697,9.8572455e-06,4.4122603e-06,1.3292263e-06,5.3380463e-06,3.028169e-08,9.17974e-05,0.00013301568,8.6704534e-07,2.4103492e-06,3.3026872e-06,1.2371111e-08,9.62062e-06,1.3092033e-05,5.6891968e-05,2.775544e-07,0.0006825221,0.00012904947,4.685687e-09,0.000121496814,6.0685972e-05,0.6847904,8.573056e-08,6.7699766e-05,0.0038848997,0.0010065335,0.0023462023,3.0281303e-06,0.00086611876,1.4899216e-07,2.850803e-06,4.503825e-07,4.078938e-06,6.414533e-07,2.0174899e-07,3.4791364e-07,0.00043166283,0.00038835904,1.4805307e-08,3.258859e-05,0.00087109907
40,1.98782e-05,0.00050212676,1.7044264e-05,1.08479e-06,1.3098576e-06,2.8850824e-08,0.00016716967,2.6467525e-05,0.014670011,0.0071898005,2.9319051e-05,4.9839605e-06,2.3100258e-06,1.1271786e-05,1.4743446e-06,0.0002953753,0.14666732,0.0004953949,0.00017820945,5.8423493e-06,1.792973e-05,0.002871904,7.4825266e-06,1.6744052e-06,4.0276293e-05,1.8229197e-05,3.0921893e-08,0.00012374275,0.000437177,1.2677305e-06,3.7466734e-06,3.943805e-06,5.994883e-09,1.0708191e-05,4.497276e-05,0.0002452011,5.387465e-06,0.005759058,5.4431992e-05,1.3302943e-08,0.00022584507,0.00022516685,0.81040186,6.984021e-08,0.00014108619,0.0027118223,0.00083309534,0.0034028285,5.1675747e-06,0.0010586042,9.108638e-07,4.142473e-05,2.6355974e-07,6.2820327e-06,1.808111e-07,1.789974e-06,1.5637637e-06,0.00047089768,0.00033479088,2.236844e-08,0.00017020348,3.241611e-05
60,0.00035009356,0.0018022943,0.00025593,4.422055e-06,4.9691835e-07,1.0775472e-05,0.00026810443,0.00020284491,0.0036419816,0.007913242,0.00042653328,0.0002283705,0.00018395114,6.6946894e-05,6.561443e-05,0.0006223576,0.005096392,0.12781921,0.110872,2.6986042e-06,4.3137743e-06,0.008327432,0.0002340183,9.983812e-05,6.337023e-05,0.0042872294,1.3855271e-05,0.022469142,0.0023314804,2.699472e-05,1.0270556e-05,3.5689961e-06,0.00012854382,0.00046333479,9.54083e-05,0.0009750115,0.0015899256,0.0033992408,0.00020686055,1.5848116e-05,5.327701e-05,0.00086486276,0.65171695,8.042695e-05,0.00019990206,0.0018218559,0.0045749005,0.008281594,0.000105914936,0.00020057066,0.00021850847,0.0004992921,9.151637e-05,9.088948e-06,6.162977e-05,3.0650088e-05,6.130823e-05,0.024631765,0.001030578,4.8919617e-07,0.0005658965,0.0003191047
80,0.0002475839,0.0034671924,0.00075506174,1.792889e-06,3.8467174e-06,0.00022589932,0.0010887607,0.00041285963,0.013543559,0.016748639,0.0016896741,0.0029123186,0.00038760007,2.269611e-05,0.00018563528,0.003284268,0.012647351,0.54714954,0.09034432,0.00032532937,7.2944354e-06,0.0070825876,0.00027167035,0.0016368816,0.00017529458,0.00022295858,7.221967e-06,0.0010882372,0.0032911834,1.4102177e-05,1.0806237e-05,2.7484566e-05,0.00011369778,0.01211269,0.00046070488,0.0005976072,0.005384818,0.19862497,0.009708729,0.00012718444,4.081581e-05,0.00037102113,0.030482078,4.295744e-05,0.0025007979,0.005175074,0.0016601671,0.0038974893,4.0023977e-05,0.0015014248,0.0007536389,0.00015814631,0.00031264417,0.00071523787,0.00067879964,0.0002496761,0.0030425144,0.008522605,0.00054877513,0.0025868553,0.00013371425,0.00017554569
100,2.5812493e-05,0.03281012,0.00015072923,1.6205502e-05,1.0535868e-05,0.0018731074,0.0014561873,0.0028484701,0.0034176533,0.000343567,0.0022284589,0.001833008,0.000377421,0.000580122,9.857709e-05,0.00085288,0.0013854391,0.6101798,0.22141416,0.00020872473,0.0016884569,3.6718266e-05,0.0044030044,0.00044354174,0.00016451215,2.0326805e-05,3.177039e-05,0.027818106,4.091594e-05,7.983305e-07,0.00033327023,3.70833e-07,0.0006185352,0.00027873358,0.0021299995,0.0010953783,0.00058675365,0.00044075548,0.0018804697,0.0006454202,0.00051375077,0.00013762126,0.002004862,0.0012589489,0.0016108705,0.00012356481,0.019272806,0.0003407212,0.006457425,8.531289e-05,0.00017124078,0.00013040955,0.003420361,0.00011488006,0.0046543726,0.0036630272,0.00041965363,0.025013294,0.0011445829,0.0006888696,0.0008988865,0.0031057799
120,3.7403996e-05,0.0033933003,5.2866082e-05,6.7019596e-07,5.5137784e-06,7.284354e-06,0.0044155573,0.043351904,0.004553698,0.0038318604,0.0005879343,0.0011254277,0.000137831,0.00012851403,0.00012350248,6.663134e-05,0.0057286965,0.12888484,0.011067265,0.040222943,0.0020181153,6.0621063e-05,0.0015624218,5.6114127e-06,0.08924004,0.0011500648,0.00014491867,0.0009841694,0.03301743,6.7537094e-08,7.95404e-05,0.00013078288,3.7656093e-05,0.00019176124,0.0059493757,0.039810065,0.00013285916,0.014929807,0.0025323755,6.406736e-05,0.001270571,0.0324014,0.0039469292,1.0978731e-05,0.031693663,0.00029394997,0.41414815,0.004908562,0.0011591042,0.006348872,4.6388403e-05,0.014486921,0.00034360477,0.0002368224,7.5950455e-05,0.00019184068,0.014327527,0.0007017116,0.0017608644,3.129459e-05,8.5249754e-05,0.031764377
140,1.8653103e-05,0.07141527,9.537635e-06,6.0109037e-06,1.2899006e-05,2.1337855e-06,0.0008842308,0.00070602173,0.01414174,0.023087068,0.0014155034,2.759685e-06,5.0472652e-05,0.000101345875,0.00013452803,5.5637333e-06,5.78925e-05,0.0038376425,0.00023476646,0.0028660237,0.00013961436,1.8497321e-05,0.0003330263,3.286286e-06,0.001225637,9.952863e-05,2.0847541e-05,0.0014778678,0.0023402479,1.1274868e-06,0.00028719712,5.48714e-05,0.000123434,5.2289757e-05,0.00037915134,0.0026872822,6.3627376e-05,0.0070436294,0.007169825,0.00120127,0.000357889,0.044263348,0.029232366,7.2555868e-06,0.0039828704,3.0424035e-05,0.74139947,0.001172376,0.0020852683,0.022239992,8.599899e-06,0.0008606943,2.951287e-05,0.0009397351,0.00011787188,3.999442e-05,0.000100739766,0.00040518437,0.00015889235,1.976126e-06,9.001765e-05,0.008763138
160,0.001999893,0.021896811,0.00014760376,6.457928e-05,6.615455e-06,6.58041e-06,0.0048404844,0.0016751431,0.044482805,0.1757874,0.0016465206,7.906541e-05,0.003044129,0.0004042198,0.0003000963,2.1930005e-06,0.00059545547,0.0062297564,0.0007194629,0.0034483445,0.00024347904,0.0010349472,0.0002706986,0.000118201366,0.0008218588,0.0013233819,1.9654377e-05,0.00091633055,0.06609629,1.3040127e-05,0.00010001593,0.0027068919,2.811736e-05,0.001442174,0.00010637413,0.0014821162,0.0005275778,0.017061943,0.00043509316,0.00035023835,7.3311014e-05,0.16533609,0.119604476,1.2511713e-05,0.0054370356,0.0024822524,0.17428109,0.0035487579,0.0003579877,0.15852001,3.301672e-05,0.0031863188,0.00010468326,0.00082830817,0.00014645758,3.1192326e-06,5.4724926e-05,0.0004144079,0.0018617829,8.692941e-06,0.000265653,0.00096366194
180,0.0003280173,0.03193703,1.23336395e-05,1.0033142e-06,0.00016247752,6.202007e-06,0.0041789156,0.00018141566,0.33682433,0.040640917,0.00049081305,2.9587272e-06,4.121263e-05,1.9787409e-05,6.8948946e-05,2.0924738e-06,0.00025572878,0.0018915901,0.00054494676,0.007329939,5.881526e-05,0.000107819535,0.02296444,0.00017387747,4.770769e-06,5.3407844e-06,8.463131e-06,8.26033e-05,0.00013922526,3.4110892e-07,1.0901332e-05,0.00019572469,5.7668017e-06,0.00015191651,5.461559e-05,0.00011864827,1.0813457e-05,0.0017059183,0.00078517233,0.00015646621,0.00041837414,0.04179223,0.011287335,1.0414903e-06,0.008087707,8.3809435e-05,0.21135446,0.0010387483,0.0014414812,0.27050868,1.1348999e-05,0.00079564645,2.0375178e-06,0.00016658835,0.0001433076,4.1095236e-06,0.00015725323,0.00017112785,0.0005049065,5.4694533e-06,4.865651e-05,0.00031341249
