,0
Natuur & dieren,20.37871047263882
Europese Unie,7.452398390232749
Werk,7.400863035227767
Politiek & verkiezingen,6.768331918554836
Onderwijs,6.6025726930500355
Bedrijfsleven & economie,5.423866521466058
Consumenten,5.1577079514726165
Zorg,4.545608927473919
Woningmarkt,4.314952484611552
Klimaatverandering,3.4443926349808915
Duurzame energie,3.3291597627420266
Landbouw & boeren,3.276534632092693
Verkeer,1.6328937011990083
Veehouderijen & vlees,1.3844631722985068
China,1.1519042676711768
Coronavirus,1.1459204720888885
Afval,1.1180360678392387
Asielzoekers & vluchtelingen,1.0590811237135942
Olie & kolen & grijze energie,0.9827023168677493
Reizen & Openbaar vervoer,0.9523041609041845
Cultuur & musea,0.9010674689777913
Rechtbank & rechter,0.8957069582806558
Belasting,0.8447235369698415
Oorlog & conflicten,0.7522691651241603
Pensioen,0.6935827093148291
Banken,0.6591252723249224
Gas,0.6043802233105382
Politie,0.5997608432073855
Vliegen,0.5336957008894818
Criminaliteit & geweld,0.5169853815109683
Demonstraties,0.4644150706596176
Discriminatie,0.4533706945451785
Sport,0.44419933532584566
Natuurramp & extreem weer,0.40492875412885465
Defensie,0.403006213676624
Zwangerschap & abortus ,0.282610226907885
Medicijnen,0.28221899116598864
Ruimtevaart,0.27943483173832395
Data & privacy & algoritmes,0.2767463254109004
Mensenrechten,0.2673659343583234
Koningshuis,0.2589905838881243
Islam,0.22141015863179786
Christendom,0.14740895931109504
Vakbonden,0.1406235106494396
Stikstof,0.12626785901038584
Aanslagen & terrorisme,0.1079834612292372
Seksueel misbruik & seksualiteit,0.10119634542370289
Voetbal,0.10031139265188445
Studielening,0.09481721911497337
Branden & brandweer,0.08975359887610758
Festival & feesten,0.07531174896753651
Inlichtingendienst,0.0718214248144143
Diefstal,0.06814244186817572
Kernenergie,0.062293061493862385
Scheepvaart,0.05407304815999128
Criminaliteit & drugs,0.048522246266343654
Corruptie & fraude,0.045363365433286874
Prostitutie & mensenhandel,0.04450484138425132
Homoseksualiteit,0.032805302311892125
Vakantie & tourisme,0.010877965206642089
Diplomatie,0.009418419959274244
Wiet,0.006104700393176656
