,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,0.09673869,0.0018416578,0.048773646,0.00033410612,6.167951e-05,7.917002e-05,0.02547346,0.0016147816,0.0005146966,0.008750347,0.0002889449,0.0003788426,0.03544874,6.524996e-06,0.00037774,0.0006323233,0.004521298,0.38298166,0.0015322426,0.016212296,0.0011446098,0.003547795,0.0002667379,9.974983e-05,0.004469037,0.0053051175,8.62997e-05,0.014939562,0.0022511757,0.00021663848,0.0011422292,3.2266777e-05,8.0358495e-06,3.0024716e-05,0.0013963552,0.004878739,0.031942032,0.00065738807,0.0058741495,0.00010838507,9.774892e-05,0.0018869844,0.19818573,0.0035163513,0.0008894841,0.006099754,0.00030533495,0.00025437507,3.2817876e-05,0.028548114,0.002873451,4.2583524e-05,3.881759e-06,0.0014817192,0.020289307,0.00016697773,0.00022663888,0.00030897144,0.029688973,3.2436048e-05,8.339069e-05,2.5835645e-05
20,0.03731574,0.0033051071,0.021694442,9.733392e-05,3.476981e-05,0.00024388988,0.009196729,0.0011302149,0.0021197463,0.037290685,0.000115414005,0.00012069965,0.007258737,1.5430414e-06,0.00017566002,0.00017430578,0.0016366479,0.6257525,0.002206222,0.021690894,0.00026151608,0.0022377062,0.00036414055,0.00034908354,0.003392362,0.008397693,0.00015154075,0.020274473,0.0011731508,0.00042386196,0.00055898936,0.00012841132,1.0862546e-05,0.000100707584,0.0013545186,0.0077394424,0.022417294,0.0006610888,0.004162642,0.00048255236,6.351204e-05,0.009794918,0.059875418,0.0015214881,0.0003394935,0.0027509986,9.997089e-05,0.00014447892,5.9843514e-05,0.031830974,0.00071235996,4.987427e-05,3.9593037e-06,0.0007679514,0.007695843,0.00010719418,3.797688e-05,9.2145965e-05,0.03773551,1.3546727e-05,7.098553e-05,2.8255112e-05
40,0.22142807,0.0049677556,0.08356627,0.00029069209,0.00017367567,0.00011785999,0.01649919,0.0025147975,0.0020136288,0.018235484,0.00015232415,0.00048951834,0.015448774,1.8438359e-06,0.0002230191,0.0009115341,0.0053832917,0.2189665,0.004745627,0.061352223,0.00038065197,0.007578262,0.00054994045,3.7526694e-05,0.02099499,0.009091068,3.524667e-05,0.0033629183,0.0038198696,6.062053e-05,0.000686075,6.0620903e-05,5.6051645e-06,4.5598576e-05,0.0026629367,0.0045201583,0.01921078,0.0012497368,0.00689462,0.0004301436,0.00010825262,0.008351947,0.11491864,0.00034367063,0.0015754772,0.006088722,0.000384065,0.00021102007,1.36006065e-05,0.061317228,0.0009456397,2.5547484e-05,4.662272e-06,0.0027999831,0.00507913,5.3003143e-05,0.00015254336,0.000118169264,0.058142457,4.1278585e-05,0.00010238098,6.317586e-05
60,0.014941014,0.017106468,0.18999378,0.00016842091,3.191284e-05,0.000986966,0.010248373,0.00051877357,0.03027848,0.108523116,0.00012373102,0.00060273265,0.013028571,1.52102075e-05,9.9202025e-06,3.8517126e-05,0.059844512,0.015208944,0.0002817157,0.0023806873,0.000829499,0.0013932504,0.0002316711,0.00042830498,0.006639705,0.0016386977,5.023856e-06,0.016667472,0.0029616067,0.002575655,0.004683946,4.0773295e-05,1.6388694e-05,8.838041e-05,0.0079955775,0.0045977165,0.0028439253,0.0028516229,0.02556684,0.00027279148,0.00012347099,0.03802276,0.08159635,0.00037490524,5.4806653e-05,0.04556992,0.00065035815,0.00066737214,9.174268e-05,0.088530324,0.0005828176,0.00018900508,2.5491407e-05,0.0006721264,0.0004251047,0.0004243737,8.408066e-05,5.7541365e-05,0.19407475,3.542594e-05,0.0009546174,0.00013193277
80,0.014507623,0.0054132547,0.13137154,0.00019962869,0.00016983102,0.0005026361,0.0055461894,0.0008734502,0.0212331,0.066454545,0.00017022714,0.0023073864,0.04745726,1.8318595e-05,4.7632807e-06,7.929547e-05,0.09071023,0.0032379648,0.00026721484,0.003019061,0.0024566876,0.0018058477,0.00018254363,8.2843064e-05,0.008313619,0.0010424673,2.2832955e-06,0.016947698,0.004719923,0.00045641686,0.012731473,7.2210637e-06,2.2657732e-05,3.1418396e-05,0.010492551,0.002064138,0.0008681228,0.0015262056,0.0348377,0.0001491898,0.00025222625,0.025326181,0.04694166,0.0007002011,7.928899e-05,0.09252673,0.0017179444,0.0007760276,4.7795478e-05,0.08917335,0.0016594348,0.00024092376,1.8893423e-05,0.00087874266,0.0004258791,0.00054905144,0.0006498217,6.0447204e-05,0.24503712,4.736918e-05,0.00047195784,0.00013446475
100,0.005024481,0.04570878,0.146359,0.0009816564,0.004643975,0.00019762048,0.0049606524,0.0021684335,0.0024179167,0.072430834,0.00014780035,0.0028597314,0.070699684,0.00015841736,1.9033829e-05,4.8650276e-05,0.025026862,0.005361262,0.00066329807,0.010438604,0.0036587713,0.00027394047,8.454584e-05,0.00048720423,0.036233563,0.0021985318,0.000121600846,0.37009498,0.00079254387,0.0017547889,0.0039570797,2.1051066e-05,0.0010394007,3.2177235e-05,0.0026538724,0.020696742,0.009678506,0.003345733,0.0044437535,0.001352097,0.00022520556,0.004955013,0.0125340065,0.0048022973,0.00061956065,0.011885356,0.000969953,0.006467712,0.00012033675,0.056966875,0.0048646913,0.000119303986,4.4080323e-05,0.00017127617,0.0029273133,0.002861713,0.0021046419,2.6449126e-05,0.023411075,7.487697e-05,0.00058589113,2.4793291e-05
120,0.00018207279,0.20274366,0.010303029,0.00036634857,0.00071361486,6.327888e-05,0.0009419524,0.11636844,0.00077240396,0.0017914685,0.001054116,0.00040136388,0.01339646,6.690777e-05,9.009015e-06,0.00035545658,0.001600568,0.029432401,0.0026748402,0.0067004724,0.0186362,0.00027173606,7.868087e-06,1.7088167e-06,0.1304973,0.00081432716,0.00022978896,0.078518875,0.0039264504,0.0002279218,0.0006718053,0.00014545201,0.002601337,0.00023408387,0.005768327,0.020926643,0.04784129,0.14813359,0.0025251296,0.002126771,3.9531435e-05,0.009796088,0.01897779,0.002948012,0.00088552514,0.013648488,0.0008576597,0.0070689428,0.00025313874,0.0350878,6.4657244e-05,0.0006299185,0.00059362635,0.041343894,0.0021382088,0.0014224964,0.005638306,0.0001562448,0.00036555057,0.0006510527,0.0012354709,0.0021530432
140,0.00014515987,0.035314668,0.009335395,0.00053896324,1.8110459e-05,2.9597391e-05,0.002672286,0.0107459845,4.3201444e-06,2.8952521e-05,0.027663745,0.00058324396,0.11064348,0.00061104965,0.004275271,0.00029666134,0.00024447285,0.0016408152,0.0006068598,2.2693084e-05,0.11537312,4.3276552e-07,2.7500498e-06,8.032659e-06,0.0014573941,0.00016210038,1.679314e-05,0.06571697,0.00017026466,5.315809e-05,0.0018396601,7.2966606e-05,0.00026777855,0.0001157714,0.03965948,0.053875547,0.069280565,0.09517725,0.000571761,0.0024221442,0.0018521501,0.0009704638,0.0008174811,0.079798386,0.00033638653,0.00013691517,0.0064937943,0.00593639,0.0015667762,0.00011909049,0.023951424,0.0006805701,0.0006296501,0.0001911874,0.0018146408,0.21944495,0.0006358476,0.0012040001,5.643498e-05,0.00033817548,0.001359282,2.401677e-07
160,0.0013867908,0.052065827,0.009397591,0.00043365583,1.7154967e-05,0.0018702934,0.0039579626,0.027436422,2.705099e-06,9.564388e-05,0.025985263,0.0013636935,0.15757719,0.00097615813,0.019296195,5.5716946e-06,3.8786187e-05,0.000766203,0.0034386138,7.549813e-07,0.09462017,5.152914e-06,9.3835326e-05,2.1276064e-05,3.4962806e-05,0.0017122854,4.2427968e-05,0.001239408,0.0025843438,1.9645555e-05,0.00018916963,0.0333183,0.00015441857,0.042172056,0.008553503,0.010119717,0.037481297,0.02540111,0.00010512195,0.0047973003,7.5372576e-05,0.0155829415,0.00018564948,0.29229563,1.3773721e-05,0.00059182994,0.0010216355,0.0008590817,0.00035071583,0.00010434732,0.00043174293,0.035061195,0.0024037969,0.00023855237,0.0005167197,0.053597037,1.9384217e-05,0.01722322,0.0004958012,0.00035711375,0.0097838435,1.2625954e-05
180,0.0026925725,0.104643546,0.14352512,0.0024442757,0.00923556,0.0003124009,0.19148476,0.0055651725,3.4686553e-05,0.00010792327,0.0048830113,0.00039743492,0.00673595,0.00011597756,0.016382879,9.136677e-05,0.00089370395,0.025942018,0.00034940735,0.00024970315,0.025750896,0.00011629987,0.0036114918,0.005435715,0.001265384,0.00052939815,4.513371e-05,0.00020768508,0.002526354,4.626988e-05,0.00013206148,0.00014281702,9.093612e-06,2.1640037e-05,9.3184004e-05,0.0010898749,0.060266756,0.00085610757,8.731206e-05,4.315628e-05,1.472227e-05,0.00079731044,0.0001102026,0.31140772,0.00034471255,0.0007367887,0.00043747394,7.864475e-05,2.4887388e-05,0.0024512154,0.0062404065,0.00036380545,9.066022e-05,0.0005686265,0.020045768,0.004390192,4.4171506e-05,0.0026457992,0.0005044618,0.030246897,9.0407004e-05,1.0453067e-06
