,0
Europese Unie,16.082960062497083
Werk,12.966112203777197
Zorg,7.354195180152663
Bedrijfsleven & economie,6.17354678949711
Onderwijs,6.011664987811067
Politiek & verkiezingen,3.3714800729796166
Asielzoekers & vluchtelingen,3.2997543679076506
Natuur & dieren,3.072205251522895
Rechtbank & rechter,3.004896926341868
Woningmarkt,2.7255449270332655
Defensie,2.5938781066365086
Duurzame energie,2.184893780564854
Zwangerschap & abortus ,2.1242202056447126
Consumenten,1.9115009517325927
Criminaliteit & geweld,1.834299527991956
Landbouw & boeren,1.761825476253331
Verkeer,1.5898404578414922
Coronavirus,1.351295892633851
Politie,1.2789369321475326
Sport,1.2707070453432547
Cultuur & musea,1.2177372394433597
Klimaatverandering,1.1421210166203242
China,1.1062383889265974
Gas,0.9221954773069154
Demonstraties,0.888168739050621
Pensioen,0.8879678722814431
Reizen & Openbaar vervoer,0.83361099570896
Natuurramp & extreem weer,0.8232314737824703
Oorlog & conflicten,0.7464861128775974
Olie & kolen & grijze energie,0.6930547761758703
Medicijnen,0.6628503327603661
Vliegen,0.6284842080779827
Seksueel misbruik & seksualiteit,0.5881353192238764
Belasting,0.587575327541338
Criminaliteit & drugs,0.5240259267559298
Banken,0.5195209862233102
Aanslagen & terrorisme,0.47890197286311675
Prostitutie & mensenhandel,0.45322521665809484
Mensenrechten,0.43104236895369247
Homoseksualiteit,0.32433732392403025
Christendom,0.32000861284234805
Voetbal,0.27713563557827997
Afval,0.2659980410221764
Kernenergie,0.2655167092603501
Discriminatie,0.25713108257247014
Scheepvaart,0.24975021519395682
Islam,0.23852996476947785
Branden & brandweer,0.22372928217951948
Koningshuis,0.20644838356756173
Veehouderijen & vlees,0.1941876982344083
Corruptie & fraude,0.18568232717104954
Wiet,0.16687594175135065
Vakbonden,0.1529883539810936
Data & privacy & algoritmes,0.14671670515135324
Festival & feesten,0.11485463823981122
Inlichtingendienst,0.10617175277342697
Diplomatie,0.09696600291317267
Vakantie & tourisme,0.04116654443213786
Ruimtevaart,0.02914156086141563
Diefstal,0.028630950738321892
Stikstof,0.00534001153527883
Studielening,0.004359363764651994
