,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,1.3884592e-07,0.9957422,3.0613355e-05,5.6077104e-05,1.2965465e-05,0.00031389704,0.0002683217,0.00013500577,2.02521e-05,0.0001456031,9.444573e-06,4.3881005e-06,3.3513537e-05,1.5247217e-06,1.8423996e-05,2.2143042e-06,4.510648e-05,0.00074685784,4.9368587e-05,1.9490424e-05,0.00051548687,2.9885718e-05,8.205278e-06,9.743172e-07,7.321628e-06,1.624582e-05,1.1658941e-06,9.3633666e-05,1.8023722e-05,2.1203766e-07,4.631591e-07,1.6023921e-05,6.2973154e-06,3.1661657e-05,1.0688447e-05,6.8952955e-05,1.2143204e-05,0.0008495402,2.3242636e-05,1.0478763e-06,5.5062133e-05,7.184153e-06,8.094344e-06,0.0002170259,4.1742005e-06,1.588294e-05,5.4997945e-05,0.0001302425,3.2108554e-05,7.5148196e-06,4.9105213e-09,3.3489669e-06,6.190693e-07,5.8947304e-08,5.5882192e-05,1.9485733e-06,2.3711098e-07,1.6757656e-05,3.1948395e-07,2.1973988e-06,3.7427603e-07,1.9377128e-05
20,1.6510508e-05,0.23353949,0.007496188,0.011442404,0.0011453377,0.01602135,0.06591805,0.03397132,0.044262018,0.0024307875,0.00017593952,0.005182063,0.005276886,1.9127045e-05,0.00063302,0.001426941,0.16418287,0.12770392,0.0013247294,0.026979415,0.036406834,0.0026559155,0.00062267133,9.661011e-05,0.05662238,0.003406096,1.865538e-05,0.0066355676,0.0020265083,0.0006319415,0.0018437387,0.0021918067,0.00023191614,0.0016880583,0.0038809534,0.012380806,0.0025266355,0.037744213,0.00033089222,2.1673966e-05,0.011145839,0.00071889727,0.0011119616,0.013741455,0.0008958591,0.01244014,0.005502877,0.0145328175,0.0008348751,0.0010729332,0.00056104845,0.0014364236,0.000707797,1.9812782e-05,0.008751149,0.00069493696,2.8316681e-05,0.0002858058,0.00037625342,0.002659254,0.0012828318,8.650101e-05
40,2.9451698e-05,0.173424,0.0026637195,9.527713e-05,0.00024526488,8.9362824e-05,0.014514034,0.001363568,0.009416053,0.012861302,7.290565e-05,0.035997897,0.008560157,2.9867731e-05,0.0015033878,0.0013940017,0.08367196,0.08664957,0.002267128,0.0052787126,0.009732121,0.00023315582,0.00085785176,2.4623168e-05,0.0035872958,0.0019791042,9.456919e-07,0.000906275,0.00017867239,0.0003180215,0.00036850592,7.937552e-05,2.1228643e-05,0.00043308176,0.00022828743,0.012690893,0.002835628,0.44526508,0.00013923961,2.134232e-05,0.004683838,0.00047264868,0.027096719,0.00047583962,0.0032978982,0.008555089,0.0009021781,0.011723557,0.00021605247,0.0038326022,0.0007757106,0.00012492089,0.0002249174,1.4879106e-05,0.0002777596,0.0037613288,0.00011216567,0.004311519,0.0038817115,0.00509131,0.00013538623,3.5916364e-06
60,2.873641e-05,0.15951872,0.00017399421,2.8165176e-05,0.0006739664,1.70708e-05,0.004209674,0.018837916,0.042538382,0.0060246387,0.0013038088,0.0007433416,0.0003669273,1.8394516e-06,0.0010100709,0.00022431722,0.014181164,0.0018283972,0.0002434604,0.0008943706,0.0006846187,0.00034097192,0.0052818684,1.6274995e-05,5.5967444e-05,0.0024223768,7.103495e-07,0.0059345895,0.00018310346,0.00019057836,0.00015686892,4.4982025e-05,1.5772896e-06,0.000119015494,3.3390195e-05,0.002196195,0.00021594967,0.56872594,1.378185e-05,7.5661583e-06,0.00050973985,0.00043144778,0.004245962,0.0008077886,0.00036168203,0.0331038,0.0007013829,0.015470763,0.00051428797,0.07235633,0.00010964577,8.782147e-05,4.4938428e-05,5.1564362e-05,0.00031620832,0.0011986896,8.185629e-05,0.009236244,0.0013902105,0.0031528957,0.016319362,3.209186e-05
80,1.1122195e-05,0.7218832,0.00015524212,2.916398e-05,0.0028632467,9.224298e-05,0.0076280893,0.010467743,0.0018519661,0.0011860708,0.0021084184,1.9857625e-05,0.0012125886,2.196728e-06,7.637621e-05,5.5855726e-05,0.0011905306,0.014740247,0.002906849,0.0034856638,0.0012127012,9.017852e-05,0.005220748,0.00018846613,6.219617e-05,4.8732323e-05,0.0010903197,0.17814188,8.4949415e-06,6.8678755e-06,2.1769416e-05,6.292885e-06,7.4710246e-05,2.4160714e-05,1.6550803e-05,0.00011546912,0.0032879533,0.01154131,4.2295073e-07,0.00023926736,1.6993106e-05,0.0014467767,0.00018442032,0.00059925136,0.00015814567,0.00014475525,0.00019293706,0.001545904,8.16513e-05,0.01604461,5.8233825e-05,0.00045450046,8.380324e-08,2.4737124e-06,0.003135747,0.0005495249,8.4326384e-05,0.000817461,4.6387784e-05,0.00035811614,0.0007013635,1.1248702e-05
100,0.00045469578,0.19023548,0.00042571433,7.964881e-05,0.0536329,0.00033874513,0.03194727,0.00510548,0.0050697215,0.011369602,0.0022733512,5.5641995e-05,0.003640521,0.0006042853,6.6321074e-05,0.00011524645,0.06587482,0.0012770917,0.0041422057,0.00020679977,0.0035111443,0.000624769,0.0007559847,0.0032914432,3.49621e-06,4.664355e-05,0.00067759736,0.13979302,0.00039356513,1.2504593e-06,0.00041460278,6.279177e-05,4.705421e-06,0.0005963483,0.00044139058,5.8077138e-05,0.0016877903,0.0036899878,6.779709e-05,0.00090984657,0.0002086372,0.0006033054,0.0017658753,0.0003141234,0.000983531,0.0027389734,0.00045108303,0.024562567,0.0010209366,0.06314392,4.0548955e-05,0.0710257,3.4487127e-06,4.1543735e-06,0.011857284,0.010896238,0.0005139341,0.2696257,0.00013436245,0.0042155073,0.0012532354,0.0006891619
120,0.0006637649,0.034131657,0.00042080026,0.0004246608,0.20106955,4.4809924e-05,0.010442891,0.001334363,0.002516951,0.03467041,0.009426062,3.398734e-05,0.0015569926,0.0059332037,7.070199e-05,0.000813726,0.04420068,0.0012390589,0.0077616344,0.003737336,0.0036801351,0.0006252319,0.00050594803,0.085448034,2.595317e-05,0.000115152434,0.0020577142,0.034193344,6.569752e-05,3.6984284e-07,0.00014331909,0.0012545574,6.284607e-05,0.0026396918,0.00266645,0.00063276663,0.0002177655,0.00045430643,3.5904202e-05,5.4617933e-05,0.0014211698,7.252827e-05,0.0018016894,2.1469075e-05,0.011298061,0.0012737286,0.013003487,0.41738898,0.0001660855,0.0064015444,1.2089509e-05,0.0067180498,2.2443335e-07,9.908109e-07,0.0045847404,0.003513967,0.00019108261,0.03487772,5.4791453e-05,2.8622937e-05,0.00017288368,0.0016231126
140,5.758786e-05,0.0012009284,5.5198707e-05,8.813346e-06,0.0005487406,2.6098487e-06,0.004889479,0.0009733729,0.0004002726,0.0017361837,0.016079903,6.053821e-06,0.00071125425,0.00052011025,1.5130873e-05,1.635281e-05,0.00010897427,0.0041123927,0.0057647345,0.00025880514,0.0021301939,2.7434812e-06,0.000107858956,0.0001606012,3.4210516e-05,0.002127369,4.0875802e-06,0.0025431828,0.0018926227,1.9911796e-07,9.783641e-05,0.00021385984,1.8746809e-05,0.00024531264,0.002476265,0.0045138015,8.4483305e-05,0.00016309688,1.1159525e-05,6.3405423e-06,0.000105184,8.590144e-05,0.00045571048,2.4315896e-05,0.009471759,0.0006035856,0.32363254,0.31612822,0.0008555558,0.0016786044,7.886249e-07,0.004803708,2.9971359e-06,3.7838942e-07,0.00014282431,0.00011723752,6.5084087e-06,0.28661606,8.7221386e-05,3.3369488e-05,8.199489e-05,0.0007647556
160,1.6306998e-05,0.0015704004,1.858371e-05,5.6030927e-05,8.156394e-05,8.291076e-06,0.0025356968,0.0049119284,0.0002405343,0.0006067506,0.01660806,5.624666e-06,0.00086478924,3.690454e-05,0.00021582066,2.329439e-05,4.1957002e-05,0.0065088416,0.006678372,0.00068678777,0.0048025716,1.1425806e-06,4.2416246e-05,2.3050343e-05,0.00014543186,0.002810089,6.2440313e-06,0.004312076,0.0027027994,2.3021836e-07,0.00011863045,0.0024587784,9.4474206e-05,0.00056952605,0.0014645733,0.013128363,0.00015660687,0.0013977685,1.5295077e-06,2.5618421e-05,0.00015985064,8.582967e-05,0.0001545501,8.961879e-05,0.011023285,6.516383e-05,0.83662784,0.009827163,0.0005211436,0.0003341719,2.080062e-06,0.0005047952,3.412627e-06,1.797835e-06,6.28787e-05,4.134595e-05,6.188032e-07,0.06358701,3.1559663e-05,5.6094417e-05,0.0005749923,0.00026640692
180,9.548946e-06,0.0009307762,7.448094e-05,1.612038e-05,1.9269783e-05,0.00018876651,0.003289537,0.0004731126,0.00020373952,0.011700791,0.0041349954,4.2683492e-05,0.01516547,0.0004132321,0.00076400046,1.2187929e-06,6.3251587e-06,0.003915862,0.0015494275,0.0014400725,0.0021604372,3.2294133e-07,6.748428e-05,7.0498645e-05,5.4938457e-05,0.012675496,6.476041e-07,0.0033886898,0.0020669124,1.8941284e-07,0.0009757819,0.0016139874,0.00047150513,0.00034243378,0.0020968835,0.0036971502,0.00038725845,0.017725758,7.65646e-05,0.00052811194,0.0016555341,2.9580127e-05,0.00017868113,0.0002788288,0.010244833,3.6513356e-05,0.8178494,0.0065768263,0.028725918,0.00030031695,1.2809875e-05,0.00033581618,2.8299635e-06,1.3083135e-07,0.00012249002,6.182451e-05,4.017761e-06,0.04058643,1.5614913e-05,0.00012605285,1.6734943e-05,9.83767e-05
