,0
Werk,15.312527436679968
Bedrijfsleven & economie,11.406278832081691
Europese Unie,8.80950662144109
Woningmarkt,7.247824649952802
Onderwijs,6.902311294286973
Zorg,4.525316444798367
Rechtbank & rechter,4.272749946824963
Duurzame energie,3.7469243182126135
Criminaliteit & geweld,3.6601921637915287
Politiek & verkiezingen,3.5535429541899797
Consumenten,2.9859628519856853
Klimaatverandering,2.4593092457247923
Vakbonden,1.8740470107031677
Cultuur & musea,1.732255918806004
Reizen & Openbaar vervoer,1.6624233947575038
Medicijnen,1.639164343471842
Politie,1.463614877347635
Pensioen,1.3831338262734452
Demonstraties,1.305544020532981
Natuur & dieren,1.209567708193701
Koningshuis,1.1498687138218655
Asielzoekers & vluchtelingen,0.9562101986222222
Sport,0.885046071153367
Belasting,0.8468605055708622
Afval,0.7569724842055301
Banken,0.7525723949303929
Data & privacy & algoritmes,0.6926298019676005
Vliegen,0.6768635941882687
Islam,0.6596671930684104
Mensenrechten,0.6576554011465278
Voetbal,0.4622250819410683
Coronavirus,0.43831625851898126
Oorlog & conflicten,0.4221439216144047
Olie & kolen & grijze energie,0.42092407334942394
Gas,0.4078584581557975
Landbouw & boeren,0.3979224717228556
Criminaliteit & drugs,0.3666938387969168
Corruptie & fraude,0.3123227821796881
Discriminatie,0.30187854452769697
Seksueel misbruik & seksualiteit,0.2444622885919854
China,0.23501348670416944
Verkeer,0.22328986773146334
Branden & brandweer,0.22089032938113484
Natuurramp & extreem weer,0.1627102906784826
Defensie,0.08954305237797355
Vakantie & tourisme,0.057204899917148486
Diefstal,0.050056135079042344
Stikstof,0.0
Wiet,0.0
Inlichtingendienst,0.0
Diplomatie,0.0
Christendom,0.0
Scheepvaart,0.0
Zwangerschap & abortus ,0.0
Festival & feesten,0.0
Kernenergie,0.0
Prostitutie & mensenhandel,0.0
Aanslagen & terrorisme,0.0
Homoseksualiteit,0.0
Veehouderijen & vlees,0.0
Studielening,0.0
Ruimtevaart,0.0
