,Branden & brandweer,Politiek & verkiezingen,Politie,Inlichtingendienst,Diplomatie,Discriminatie,Demonstraties,Defensie,Duurzame energie,Klimaatverandering,Rechtbank & rechter,Criminaliteit & drugs,Criminaliteit & geweld,Diefstal,Corruptie & fraude,Veehouderijen & vlees,Landbouw & boeren,Werk,Woningmarkt,Pensioen,Oorlog & conflicten,Stikstof,Kernenergie,Belasting,Vakbonden,Reizen & Openbaar vervoer,Studielening,Onderwijs,Vliegen,Vakantie & tourisme,Seksueel misbruik & seksualiteit,Voetbal,Data & privacy & algoritmes,Sport,Zorg,Coronavirus,Asielzoekers & vluchtelingen,Europese Unie,Afval,Homoseksualiteit,Medicijnen,Gas,Natuur & dieren,Aanslagen & terrorisme,Banken,Verkeer,Bedrijfsleven & economie,Consumenten,Cultuur & musea,Olie & kolen & grijze energie,Prostitutie & mensenhandel,Zwangerschap & abortus ,Festival & feesten,Scheepvaart,Islam,Christendom,Wiet,China,Natuurramp & extreem weer,Mensenrechten,Koningshuis,Ruimtevaart
0,1.8891531e-05,0.00048975885,0.007446173,7.0805254e-05,4.6806217e-06,0.005215055,0.0011308596,0.0039389003,4.774045e-06,7.0593705e-05,0.004436295,1.7886516e-05,0.010617966,1.5231661e-05,0.0012895546,9.267662e-09,5.9685667e-06,0.004870017,1.997991e-06,4.0811778e-05,0.04525175,2.538205e-08,4.7117214e-06,9.98265e-06,0.006530162,0.004046517,2.188245e-05,0.75216985,0.0005288805,3.0656274e-06,0.024873942,0.00017155928,1.7244221e-06,0.0012222823,0.007329266,0.035479825,0.00010755738,1.0459004e-05,0.0001924929,1.8363766e-05,4.6465306e-05,2.2978527e-07,1.227594e-05,0.017928414,1.7940167e-05,3.9307946e-05,0.0081275245,6.0363283e-05,0.0038805285,5.8331385e-05,7.667939e-05,0.0036932377,6.323712e-05,8.744473e-06,0.02082323,0.000368471,2.0341788e-06,0.025695251,6.0392936e-06,0.0012770441,6.632754e-05,8.783953e-05
33,4.9124577e-05,0.27049527,2.9956092e-05,2.6639225e-07,1.6091875e-05,0.0018298011,0.0010681627,0.0004901308,0.4320054,0.13016999,6.1408726e-05,7.868429e-07,5.4900142e-06,5.878315e-07,1.2086852e-05,1.7635137e-05,0.013852787,0.051836297,0.020939495,0.0020830843,0.0005731056,0.010878246,0.014725314,4.0210434e-06,0.0006018241,0.0010924481,7.289345e-05,0.00096459145,4.8859478e-05,4.02703e-06,5.8392587e-05,0.00031184836,1.7359936e-06,0.0130982585,4.0995226e-05,0.0017055881,3.3418255e-05,0.0071765003,0.000108818465,4.7879935e-06,9.422645e-06,0.00010992279,0.01408033,1.9010731e-05,0.0010237324,0.00019942096,0.0006458877,0.004281584,0.00043837907,0.0002906148,6.7400615e-06,0.00042827844,6.230228e-05,2.1888842e-05,0.00013754187,0.00067822007,7.656301e-06,1.2867664e-05,0.0005739228,2.6254207e-05,0.00043893323,3.7525544e-05
66,9.388929e-05,0.2707679,7.766193e-06,1.8662705e-07,2.8921868e-05,0.00043700062,0.00077657046,0.0007142261,0.2723205,0.27664545,6.6354085e-05,1.775175e-06,1.165331e-05,9.367378e-08,7.8796e-05,2.3379014e-05,0.023788095,0.07459585,0.0047785263,0.0015711249,0.0018585909,0.0045108595,0.022126645,3.845595e-06,0.0015915524,0.0011351842,3.0342198e-05,0.0008218105,4.5514775e-05,9.35101e-06,6.49189e-05,0.00014774122,2.7040862e-06,0.008438813,0.00012837363,0.0040624775,3.4895515e-05,0.005411214,0.00039274606,3.3293263e-06,6.30202e-05,0.00021583316,0.012426452,1.4149795e-05,0.0011880302,0.00013775803,0.0013635654,0.0014899069,0.00026214492,0.0017070748,6.6811954e-06,0.0005836482,2.2602237e-05,7.809119e-05,8.0727885e-05,0.0003718473,8.598738e-06,2.9820141e-05,0.0021412484,9.456573e-05,0.00016245147,2.2808224e-05
99,0.0001994321,0.08563844,0.000115715724,1.6361552e-06,2.3511053e-05,6.991192e-05,0.0036111316,0.0067017493,0.113655776,0.0893256,0.00015878124,7.3039487e-06,4.265183e-06,1.1281414e-06,8.778278e-05,0.0014859634,0.0065648886,0.13690898,0.0024639776,0.009299029,0.0012350326,0.0021137036,0.009863295,4.052746e-05,0.0037764683,0.002598111,3.6565885e-05,0.00064316625,0.0008635055,3.158321e-05,0.0003377808,6.7862646e-05,1.3777466e-05,0.008931825,0.0042108353,0.025498753,4.2413754e-05,0.052936826,0.004061925,2.1165688e-06,0.0018717083,0.0020241193,0.014534181,8.938145e-06,0.036773924,5.728429e-05,0.03837924,0.20371197,9.857961e-05,0.10686919,4.959197e-06,0.016147299,0.0016224235,0.0017319254,6.016054e-06,0.00040836868,0.000107195825,0.0010469105,0.00063459924,4.1665455e-05,0.00024156472,4.6893263e-05
132,0.00017381835,0.0037787557,0.008723087,1.5888238e-05,4.514134e-06,1.6312379e-05,0.05346008,0.0009603038,2.4366227e-06,0.0005425114,0.017238397,0.00018321957,0.00074346573,1.4465012e-06,0.002141847,0.0008470578,0.0017924046,0.1674838,0.0024217805,0.003215345,0.00030335446,5.340174e-05,5.3178497e-05,0.00017268144,0.04143037,0.00025379733,0.0009807607,0.023161976,0.0005387216,1.8306051e-05,0.0010408455,0.0003903884,8.266505e-05,0.004625159,0.21846236,0.0040366813,0.00027789784,0.011770582,0.000836317,0.0001257,0.024636764,1.4648675e-05,0.00054327754,3.7286848e-06,0.0046199686,0.0005612025,0.01574619,0.1215525,3.037975e-05,0.00049447396,1.884251e-06,0.001109969,7.518526e-05,1.7438919e-05,1.1932514e-05,0.00013628392,0.2554631,0.0009698284,0.00021424198,0.0007551985,4.424282e-06,0.00067574927
165,0.00012557708,0.0049942,0.011637265,7.180704e-07,1.743306e-06,0.00012675633,0.0154750915,0.0003519181,8.766638e-06,3.535412e-05,0.018680556,0.00012867525,0.00011158673,3.9748699e-07,4.918403e-05,0.00016402808,0.00023227926,0.09549907,0.0020582303,0.00046633295,0.00048232285,9.829177e-05,4.5771074e-05,0.0005372484,0.0022363465,0.0015893189,0.0011410089,0.013973666,0.0012407084,0.0009137434,0.0009501627,1.2456845e-05,1.5933147e-06,0.00083303585,0.38629168,0.3231487,0.00015549632,0.0012394004,0.00046681575,9.8840865e-06,0.015575834,1.0787844e-06,7.831884e-05,5.521643e-06,0.0026691074,0.0010026764,0.00084852346,0.0789355,4.6490666e-05,0.00013010521,1.7735798e-06,0.005738244,0.0016506056,4.619588e-06,7.354457e-05,0.00046157066,0.0066908184,0.00037354825,0.000100582634,2.6463924e-05,4.216984e-05,2.752824e-05
198,1.5725494e-05,0.0024738505,0.0035013012,4.0771656e-06,1.3352349e-05,1.25727365e-05,0.019110551,4.8943548e-05,9.989095e-06,3.394134e-05,0.008036134,4.515407e-05,8.431869e-05,5.6187773e-08,5.753987e-06,0.000208714,0.0013247123,0.04604174,9.0903395e-06,3.586885e-05,0.0002862589,2.7329854e-05,6.8323625e-06,1.3393233e-05,0.00057560025,0.0017374221,7.6261035e-06,0.0010965478,0.000987339,0.003162552,4.379094e-05,4.1453727e-06,1.1145986e-05,0.00016823655,0.40024537,0.48700172,0.00020190052,0.0045673177,8.588434e-05,1.0054367e-05,0.007603334,3.236709e-07,0.00010967129,8.971163e-06,8.26115e-06,0.0020021254,0.00023129031,0.0026748239,7.1861665e-05,0.00010786448,2.281547e-06,0.0026020037,0.00024564093,1.7907521e-05,3.0052615e-05,1.0085607e-05,6.805129e-05,0.0025562122,9.4726965e-05,0.00027419455,2.0190711e-05,3.8329654e-06
231,4.4877637e-05,0.00069737923,0.0022448248,2.6029102e-05,1.8109255e-05,0.0001660881,0.00033078442,0.0018986035,6.0119528e-05,5.4008356e-06,0.0036424152,2.7294238e-06,1.3143589e-05,1.8759707e-06,2.3187947e-06,1.1425993e-06,2.93558e-06,0.025656821,0.0001951134,0.00016124919,0.00094651117,3.2705015e-07,0.00035297015,1.1658553e-06,0.00044210453,0.00048827793,2.8505006e-05,0.0029260518,0.0003577275,0.00023077473,2.025697e-05,5.453093e-06,1.1497419e-06,0.00010486079,0.020349737,0.93320984,8.873397e-05,0.0001145102,2.065817e-05,2.431512e-06,0.0003937915,6.5403856e-07,7.50495e-05,0.00017149918,0.000100715384,1.78843e-05,0.00018425482,0.00019679502,2.2835215e-05,3.336112e-05,7.735834e-07,0.0009079418,0.0007397472,7.4055624e-06,0.00021655958,1.6638274e-05,6.4367856e-07,0.0006821239,1.8290375e-05,6.0726716e-06,0.0013426732,2.796872e-07
264,2.2132788e-05,0.0014162938,0.00023507333,3.6864765e-06,4.4947087e-06,0.00027842782,6.1880455e-05,0.001818489,0.0014797256,2.1575415e-05,0.0003157951,1.7405257e-05,5.4201537e-05,1.9655672e-05,7.0632296e-07,7.83731e-06,7.1782706e-06,0.03100189,8.882128e-05,1.3126846e-05,0.0006505499,7.348976e-07,4.915557e-05,9.007256e-06,2.1813685e-05,4.0687475e-05,3.7295154e-05,0.07006634,0.00078268436,0.005022089,0.00032154407,4.6686973e-06,5.2738593e-05,0.00015730025,0.0024704065,0.67110705,0.0002185145,5.411469e-05,3.118372e-05,3.910667e-05,0.0005557048,1.0014701e-06,8.460196e-05,0.0007693446,0.000592354,2.8212797e-05,0.00052920537,0.0006835017,0.029977906,1.3272341e-05,1.1507414e-06,0.00019980101,0.17174287,5.886132e-06,0.0003814573,0.00135577,2.1855318e-07,0.00050076423,4.5692726e-05,2.8019083e-05,0.0044866325,1.1183288e-05
297,4.84344e-05,0.00060251297,0.00045019112,2.5245588e-06,6.9070834e-06,0.00031449934,1.9655958e-05,0.0016062361,0.0011015789,2.4028579e-05,0.000468251,0.00016663,0.0011252376,8.908512e-05,1.2085098e-06,3.354708e-05,3.4133488e-06,0.5327873,0.0013428731,1.489669e-05,0.0030292433,3.6053918e-06,2.317862e-05,3.249154e-05,3.308316e-05,2.875512e-05,0.0002868463,0.13444234,0.0019323268,0.03670258,0.0011132464,9.166932e-05,0.0003014781,0.0017118325,0.003934074,0.23922752,0.0004113062,0.00030398695,0.0004440852,0.00012492045,0.00013482137,4.878176e-08,2.2772021e-05,0.0026781615,0.0020449925,8.276612e-05,0.0027269297,0.0026625118,0.007189905,2.9350953e-05,1.0458965e-06,8.985304e-05,0.012020835,4.0637015e-06,9.9293095e-05,0.0015836721,3.0207793e-06,0.00010059568,1.7904295e-05,4.776167e-05,0.004055705,1.6387978e-05
