,0
Europese Unie,15.733037204699944
Werk,11.49970285260818
Bedrijfsleven & economie,9.261468817767907
Onderwijs,8.352719754281487
Zorg,5.6597400296304325
Woningmarkt,4.335453344509106
Rechtbank & rechter,3.523040445100329
Criminaliteit & geweld,2.961583710990648
Consumenten,2.7723299539875237
Politiek & verkiezingen,2.7281286612298232
Asielzoekers & vluchtelingen,2.692110285043516
Defensie,2.476410238352711
Natuur & dieren,1.8721725812112486
Klimaatverandering,1.7167717780742557
China,1.61639387202042
Duurzame energie,1.490407199517215
Coronavirus,1.333486608617423
Verkeer,1.1935507816388946
Politie,1.1325340643554556
Cultuur & musea,1.0896651386891034
Belasting,1.086073100976307
Reizen & Openbaar vervoer,1.0820028331881377
Medicijnen,1.0544408711975781
Pensioen,0.9721925146617412
Sport,0.9534153741143553
Landbouw & boeren,0.9462020318103547
Vliegen,0.8252596677985908
Olie & kolen & grijze energie,0.812457306639319
Criminaliteit & drugs,0.7469172695493368
Discriminatie,0.659863254504894
Zwangerschap & abortus ,0.5624117272867033
Oorlog & conflicten,0.5462244538052289
Homoseksualiteit,0.5459523176176745
Banken,0.5154574165596908
Aanslagen & terrorisme,0.41283550577055517
Islam,0.3926363921438106
Demonstraties,0.3870219120338063
Kernenergie,0.3504278620939828
Mensenrechten,0.29786134465446873
Seksueel misbruik & seksualiteit,0.29263340065829246
Natuurramp & extreem weer,0.2873077381263782
Gas,0.28294917178986717
Data & privacy & algoritmes,0.2788637489100608
Afval,0.2549653199702903
Veehouderijen & vlees,0.220110725974389
Scheepvaart,0.19978368381527267
Diefstal,0.1815566854262067
Diplomatie,0.18004193762846588
Corruptie & fraude,0.1781755457867291
Inlichtingendienst,0.1642992221740468
Prostitutie & mensenhandel,0.15835185600165586
Christendom,0.1317192759156933
Voetbal,0.10283006742023944
Stikstof,0.09852840048694053
Koningshuis,0.08691687416679507
Vakbonden,0.08425705206693779
Wiet,0.07385133256155335
Branden & brandweer,0.062337145693974035
Vakantie & tourisme,0.03806422884459743
Festival & feesten,0.02623878542372954
Studielening,0.025857322425724114
Ruimtevaart,0.0
